@relation amazonReview
@attribute "Unrestricted Type-Token ratio" numeric
@attribute "Guiraud's R" numeric
@attribute "Herdan's C" numeric
@attribute "Dugast's k" numeric
@attribute "Tuldava's LN" numeric
@attribute "Yule's K" numeric
@attribute "Honore's H" numeric
@attribute "Yule's K" numeric
@attribute "Entropy" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
.025,.970,.496,1.819,-.137,633.904,728.276,.081,17.126,Bukowsky
.033,1.052,.507,1.819,-.144,654.097,695.177,.059,20.602,Bukowsky
.033,1.123,.517,1.864,-.142,597.011,704.229,.079,21.156,Bukowsky
.027,1.013,.502,1.836,-.138,602.155,724.993,.053,17.852,Bukowsky
.029,1.071,.509,1.863,-.138,597.630,724.137,.075,18.605,Bukowsky
.024,.950,.493,1.820,-.135,634.273,737.713,.184,15.719,Bukowsky
.027,1.025,.503,1.846,-.137,637.021,727.863,.077,16.971,Bukowsky
.027,1.041,.505,1.856,-.137,643.177,729.777,.025,17.375,Bukowsky
.029,1.055,.507,1.853,-.138,594.810,721.964,.000,18.295,Bukowsky
.027,1.040,.505,1.856,-.137,626.130,729.845,.100,17.428,Bukowsky
.027,1.035,.505,1.854,-.137,616.866,730.988,.200,17.458,Bukowsky
.031,1.158,.520,1.902,-.138,621.044,722.839,.140,19.742,Bukowsky
.024,.945,.492,1.812,-.136,632.372,733.563,.054,15.679,Bukowsky
.025,.971,.496,1.819,-.137,639.085,728.001,.081,16.550,Bukowsky
.026,1.006,.501,1.841,-.137,619.452,731.588,.077,16.866,Bukowsky
.031,1.080,.511,1.853,-.140,604.376,712.206,.053,19.729,Bukowsky
.026,1.013,.502,1.849,-.136,621.246,735.116,.100,16.782,Bukowsky
.028,1.000,.500,1.820,-.139,609.895,716.627,.111,17.682,Bukowsky
.024,.963,.495,1.823,-.136,609.497,735.116,.079,16.285,Bukowsky
.031,1.025,.503,1.812,-.143,622.314,700.397,.059,19.126,Bukowsky
.030,1.062,.508,1.849,-.140,586.969,715.462,.105,19.083,Bukowsky
.030,1.063,.509,1.849,-.140,626.278,715.227,.079,18.747,Bukowsky
.045,1.325,.542,1.916,-.148,623.117,676.388,.179,26.705,Bukowsky
.027,1.090,.512,1.891,-.135,618.209,739.511,.182,17.591,Bukowsky
.026,1.011,.501,1.849,-.136,640.433,735.628,.125,16.728,Bukowsky
.027,1.073,.510,1.882,-.135,608.383,738.088,.070,17.815,Bukowsky
.026,.957,.494,1.801,-.139,619.240,719.893,.057,17.697,Bukowsky
.029,1.097,.513,1.881,-.137,609.385,729.097,.143,18.718,Bukowsky
.026,1.018,.502,1.850,-.136,621.958,734.278,.175,17.025,Bukowsky
.025,1.007,.501,1.848,-.136,599.100,736.391,.150,16.837,Bukowsky
.026,1.000,.500,1.839,-.136,646.035,732.778,.026,16.860,Bukowsky
.032,1.066,.509,1.836,-.142,625.385,703.878,.111,19.816,Bukowsky
.026,.989,.498,1.823,-.138,621.556,724.494,.054,17.788,Bukowsky
.026,.934,.491,1.788,-.139,636.466,718.841,.059,16.870,Bukowsky
.026,1.005,.501,1.841,-.137,615.958,731.788,.154,16.835,Bukowsky
.027,1.007,.501,1.828,-.139,634.040,720.860,.081,18.272,Bukowsky
.027,1.065,.509,1.874,-.136,628.054,734.923,.024,17.844,Bukowsky
.025,1.034,.505,1.866,-.135,649.422,740.792,.095,16.610,Bukowsky
.032,1.135,.518,1.879,-.140,620.817,712.448,.100,20.292,Bukowsky
.025,.967,.495,1.818,-.137,622.271,728.824,.108,16.780,Bukowsky
.027,1.042,.506,1.856,-.137,636.888,729.641,.100,17.675,Bukowsky
.026,1.041,.505,1.862,-.136,648.345,734.730,.073,16.883,Bukowsky
.027,1.048,.506,1.858,-.137,623.222,728.345,.100,17.812,Bukowsky
.033,1.109,.515,1.854,-.142,647.134,701.481,.054,20.331,Bukowsky
.024,.961,.495,1.823,-.136,608.821,735.436,.105,16.207,Bukowsky
.026,1.025,.503,1.858,-.135,634.015,737.713,.098,16.915,Bukowsky
.028,1.107,.514,1.889,-.137,629.564,731.986,.163,18.271,Bukowsky
.025,.981,.497,1.835,-.136,615.062,736.645,.103,16.012,Bukowsky
.029,1.091,.512,1.874,-.138,632.333,725.276,.098,19.055,Bukowsky
.024,.927,.490,1.800,-.137,643.531,731.788,.028,15.880,Bukowsky
.029,1.062,.508,1.855,-.139,585.113,720.712,.103,18.952,Calvinnme
.025,.892,.484,1.761,-.140,630.252,716.007,.031,16.169,Calvinnme
.026,.867,.480,1.728,-.142,649.864,702.108,.034,17.181,Calvinnme
.033,1.171,.522,1.899,-.140,644.247,716.007,.095,20.485,Calvinnme
.036,1.117,.516,1.842,-.145,608.354,688.959,.086,22.813,Calvinnme
.049,1.276,.537,1.867,-.154,620.273,650.578,.061,28.594,Calvinnme
.032,1.056,.508,1.827,-.143,602.293,700.216,.029,20.354,Calvinnme
.027,1.077,.510,1.883,-.136,634.606,737.400,.070,17.657,Calvinnme
.034,1.032,.505,1.791,-.147,633.269,680.461,.000,21.402,Calvinnme
.035,1.176,.523,1.888,-.142,627.784,705.272,.050,21.922,Calvinnme
.033,1.184,.524,1.907,-.139,578.809,718.463,.140,20.254,Calvinnme
.032,1.185,.524,1.913,-.138,601.327,722.839,.159,19.937,Calvinnme
.030,1.032,.504,1.821,-.142,611.813,704.839,.143,19.474,Calvinnme
.032,1.143,.519,1.886,-.140,637.449,716.007,.049,20.659,Calvinnme
.048,1.294,.539,1.885,-.151,620.073,659.578,.057,27.960,Calvinnme
.033,1.093,.513,1.843,-.143,593.495,698.841,.056,21.268,Calvinnme
.038,1.125,.517,1.830,-.148,665.906,675.809,.030,23.164,Calvinnme
.035,1.117,.516,1.849,-.144,582.926,694.505,.111,20.987,Calvinnme
.028,1.088,.512,1.879,-.137,593.116,730.586,.119,18.487,Calvinnme
.040,1.256,.533,1.901,-.145,589.123,687.109,.103,24.784,Calvinnme
.079,1.488,.568,1.883,-.170,628.571,586.930,.143,40.702,Calvinnme
.025,.971,.496,1.825,-.136,642.082,733.498,.158,16.369,Calvinnme
.044,1.227,.531,1.862,-.150,580.258,664.379,.000,25.369,Calvinnme
.028,1.038,.505,1.843,-.139,613.147,720.117,.105,18.383,Calvinnme
.033,1.171,.522,1.899,-.140,644.247,716.007,.095,20.485,Calvinnme
.055,1.526,.564,1.976,-.151,598.036,663.068,.095,31.543,Calvinnme
.029,1.152,.519,1.911,-.136,603.231,733.041,.111,18.427,Calvinnme
.024,1.017,.502,1.868,-.133,649.460,748.941,.093,16.001,Calvinnme
.030,1.091,.512,1.868,-.139,590.908,720.266,.050,19.452,Calvinnme
.044,1.260,.535,1.883,-.149,574.914,670.441,.056,26.420,Calvinnme
.040,1.223,.529,1.881,-.147,594.013,682.002,.135,23.873,Calvinnme
.034,1.175,.523,1.894,-.141,636.114,710.497,.073,21.446,Calvinnme
.037,1.055,.508,1.789,-.149,617.145,669.580,.100,22.567,Calvinnme
.047,1.306,.540,1.894,-.151,678.099,663.332,.056,27.196,Calvinnme
.035,1.240,.530,1.925,-.140,582.848,713.887,.045,21.652,Calvinnme
.033,1.127,.517,1.871,-.141,617.522,708.841,.154,20.378,Calvinnme
.044,1.243,.533,1.873,-.150,600.160,667.582,.171,26.152,Calvinnme
.035,1.176,.523,1.888,-.142,625.464,705.272,.100,21.176,Calvinnme
.028,1.037,.505,1.842,-.139,627.814,720.192,.105,18.249,Calvinnme
.043,1.325,.541,1.928,-.146,593.231,686.380,.098,25.393,Calvinnme
.034,1.126,.517,1.858,-.143,634.336,698.472,.108,21.767,Calvinnme
.037,1.248,.531,1.916,-.142,614.908,703.262,.143,22.510,Calvinnme
.054,1.473,.559,1.954,-.151,639.451,660.259,.100,29.596,Calvinnme
.033,1.082,.511,1.833,-.144,623.211,695.368,.143,20.710,Calvinnme
.033,1.107,.514,1.853,-.142,609.645,701.930,.216,20.742,Calvinnme
.031,1.126,.517,1.883,-.139,620.195,718.917,.146,19.610,Calvinnme
.035,1.087,.512,1.828,-.145,617.104,688.551,.059,22.099,Calvinnme
.044,1.260,.535,1.883,-.149,574.914,670.441,.056,26.420,Calvinnme
.036,1.162,.522,1.873,-.143,633.282,697.448,.158,22.307,Calvinnme
.067,1.465,.562,1.905,-.162,611.395,616.752,.031,34.792,Calvinnme
.035,1.175,.523,1.888,-.142,630.077,705.531,.075,21.572,CFH
.035,1.232,.529,1.924,-.140,592.271,715.070,.136,21.736,CFH
.041,1.339,.542,1.947,-.143,611.583,698.379,.045,23.331,CFH
.041,1.339,.542,1.947,-.143,611.583,698.379,.045,23.331,CFH
.041,1.339,.542,1.947,-.143,611.583,698.379,.045,23.331,CFH
.038,1.300,.537,1.938,-.142,606.472,704.403,.068,23.745,CFH
.035,1.250,.531,1.927,-.140,583.474,712.287,.091,22.631,CFH
.045,1.394,.548,1.953,-.146,602.414,685.857,.116,26.066,CFH
.038,1.136,.519,1.840,-.147,650.822,679.794,.118,22.939,CFH
.035,1.265,.533,1.941,-.139,601.007,718.690,.152,21.478,CFH
.030,1.119,.515,1.887,-.138,601.474,725.134,.119,18.880,CFH
.034,1.187,.524,1.902,-.140,588.050,713.250,.119,21.297,CFH
.042,1.289,.537,1.914,-.145,569.881,687.005,.175,25.634,CFH
.028,.970,.496,1.797,-.140,601.791,711.396,.088,17.959,CFH
.042,1.383,.546,1.966,-.143,562.692,700.941,.109,25.590,CFH
.056,1.623,.572,2.019,-.148,568.032,673.221,.106,31.644,CFH
.036,1.192,.525,1.886,-.143,603.677,697.541,.154,21.928,CFH
.037,1.244,.531,1.915,-.142,580.681,703.791,.143,22.838,CFH
.032,1.172,.522,1.905,-.139,557.156,720.415,.070,20.666,CFH
.033,1.078,.511,1.832,-.144,608.153,696.130,.057,20.784,CFH
.030,1.055,.508,1.840,-.140,617.535,711.396,.162,19.123,CFH
.026,1.006,.501,1.841,-.137,614.575,731.522,.128,17.099,CFH
.038,1.163,.522,1.860,-.146,604.807,686.485,.139,23.317,CFH
.028,1.081,.511,1.878,-.137,609.100,731.920,.071,18.221,CFH
.031,1.105,.514,1.865,-.140,598.500,712.689,.077,20.360,CFH
.036,1.192,.525,1.886,-.143,603.677,697.541,.154,21.928,CFH
.028,1.081,.511,1.878,-.137,609.100,731.920,.071,18.221,CFH
.045,1.339,.543,1.925,-.147,615.350,679.459,.050,27.266,CFH
.040,1.217,.529,1.879,-.146,588.167,682.979,.027,24.406,CFH
.033,1.222,.528,1.927,-.139,563.496,721.303,.133,21.147,CFH
.042,1.286,.537,1.908,-.146,602.020,682.437,.103,25.203,CFH
.036,1.194,.525,1.893,-.142,611.613,702.287,.125,22.136,CFH
.037,1.161,.522,1.860,-.145,649.731,686.901,.056,22.749,CFH
.027,.951,.493,1.785,-.141,643.756,709.257,.030,17.584,CFH
.040,1.217,.529,1.879,-.146,588.167,682.979,.027,24.406,CFH
.023,.915,.488,1.797,-.136,647.302,734.407,.056,15.377,CFH
.033,1.079,.511,1.833,-.144,678.926,695.845,.086,21.172,CFH
.030,1.059,.508,1.841,-.141,606.403,710.743,.108,18.882,CFH
.041,1.315,.540,1.931,-.144,572.789,692.756,.048,25.841,CFH
.044,1.311,.540,1.913,-.147,594.810,678.559,.128,26.013,CFH
.041,1.293,.537,1.921,-.145,617.183,691.274,.073,24.289,CFH
.040,1.379,.546,1.970,-.142,577.875,705.704,.085,24.670,CFH
.039,1.266,.534,1.915,-.144,622.933,695.464,.073,24.137,CFH
.029,1.083,.511,1.866,-.138,617.247,721.891,.150,18.714,CFH
.031,1.077,.510,1.852,-.140,638.654,712.689,.105,18.813,CFH
.027,1.019,.503,1.838,-.138,595.678,723.706,.132,17.580,CFH
.033,1.125,.517,1.864,-.142,600.669,703.878,.132,20.786,CFH
.042,1.294,.538,1.915,-.146,626.025,686.171,.075,25.280,CFH
.027,1.047,.506,1.857,-.137,625.469,728.619,.100,17.658,CFH
.027,1.035,.505,1.854,-.137,620.517,730.988,.025,17.569,CFH
.051,1.485,.559,1.972,-.148,569.737,673.221,.186,29.383,Chachra
.050,1.318,.542,1.890,-.152,659.947,655.820,.114,28.643,Chachra
.109,1.682,.595,1.916,-.182,651.074,547.646,.115,50.799,Chachra
.053,1.258,.536,1.841,-.157,604.427,634.388,.033,30.140,Chachra
.106,1.844,.607,1.990,-.175,552.422,570.711,.000,51.315,Chachra
.029,.994,.499,1.804,-.141,605.910,706.476,.118,18.623,Chachra
.052,1.443,.555,1.948,-.150,596.263,664.379,.125,29.697,Chachra
.049,1.440,.554,1.958,-.148,594.020,674.641,.119,27.969,Chachra
.027,.974,.496,1.806,-.139,618.902,716.395,.143,17.586,Chachra
.045,1.364,.546,1.936,-.147,591.949,680.683,.122,26.274,Chachra
.090,1.870,.603,2.031,-.164,547.655,607.535,.103,45.557,Chachra
.035,1.300,.536,1.959,-.138,542.409,721.818,.062,22.782,Chachra
.060,1.515,.564,1.952,-.155,613.915,644.413,.079,34.077,Chachra
.041,1.269,.535,1.904,-.146,643.213,685.013,.128,24.490,Chachra
.161,2.008,.638,1.989,-.198,676.379,504.343,.200,65.745,Chachra
.039,1.150,.521,1.843,-.148,656.298,677.308,.029,23.173,Chachra
.086,1.610,.581,1.926,-.171,575.788,584.932,.033,44.018,Chachra
.054,1.392,.551,1.914,-.154,609.325,650.578,.028,30.435,Chachra
.053,1.512,.562,1.978,-.149,557.587,669.580,.116,30.763,Chachra
.066,1.425,.558,1.889,-.162,595.318,615.910,.032,35.311,Chachra
.047,1.366,.546,1.931,-.148,595.669,675.460,.125,27.420,Chachra
.113,1.746,.602,1.938,-.182,574.395,547.646,.148,53.557,Chachra
.102,1.688,.593,1.931,-.178,602.050,561.677,.036,49.221,Chachra
.064,1.513,.565,1.941,-.158,631.828,633.859,.167,34.418,Chachra
.064,1.513,.565,1.941,-.158,633.639,633.859,.139,33.806,Chachra
.091,1.564,.579,1.894,-.175,614.274,569.709,.074,43.887,Chachra
.050,1.265,.536,1.857,-.155,566.821,646.147,.125,29.483,Chachra
.102,1.863,.607,2.004,-.172,563.176,580.814,.088,48.344,Chachra
.050,1.308,.541,1.881,-.153,606.925,651.619,.029,28.769,Chachra
.037,1.053,.508,1.788,-.149,590.053,669.827,.033,22.926,Chachra
.054,1.436,.555,1.935,-.153,595.000,655.108,.132,31.136,Chachra
.064,1.478,.562,1.921,-.159,592.015,627.099,.088,33.844,Chachra
.063,1.399,.554,1.883,-.161,626.719,619.644,.000,33.568,Chachra
.064,1.542,.568,1.952,-.157,569.872,635.611,.000,33.105,Chachra
.049,1.470,.557,1.974,-.147,607.748,679.794,.045,28.449,Chachra
.069,1.571,.572,1.953,-.160,587.719,626.340,.222,35.635,Chachra
.054,1.391,.551,1.913,-.154,610.314,650.728,.083,30.655,Chachra
.069,1.391,.555,1.859,-.166,575.583,600.389,.036,36.131,Chachra
.107,1.936,.614,2.025,-.173,558.782,578.996,.086,51.212,Chachra
.066,1.479,.563,1.915,-.161,595.998,621.060,.030,35.973,Chachra
.040,1.179,.524,1.857,-.147,604.192,678.106,.057,23.561,Chachra
.047,1.286,.538,1.883,-.151,598.327,660.800,.057,27.970,Chachra
.047,1.286,.538,1.883,-.151,598.327,660.800,.057,27.970,Chachra
.062,1.414,.556,1.893,-.160,637.627,623.832,.094,33.384,Chachra
.046,1.253,.534,1.869,-.151,616.010,660.123,.118,27.223,Chachra
.106,1.930,.613,2.023,-.172,562.726,579.606,.057,48.773,Chachra
.052,1.245,.534,1.838,-.157,623.858,636.475,.067,29.351,Chachra
.075,1.647,.581,1.969,-.162,569.274,616.961,.111,39.902,Chachra
.055,1.279,.539,1.846,-.158,645.322,630.992,.033,30.799,Chachra
.047,1.312,.541,1.902,-.150,582.746,667.834,.108,27.877,Chachra
.023,.953,.494,1.828,-.135,596.126,742.297,.077,15.224,Chandler
.023,.937,.491,1.817,-.135,636.017,740.610,.105,15.454,Chandler
.036,1.168,.522,1.874,-.143,646.868,696.508,.105,22.002,Chandler
.021,.866,.480,1.776,-.135,636.441,739.940,.143,14.443,Chandler
.026,.988,.498,1.823,-.138,613.495,724.637,.081,17.037,Chandler
.036,1.072,.510,1.809,-.147,641.116,679.234,.062,22.484,Chandler
.026,.990,.499,1.824,-.138,637.990,724.280,.135,16.971,Chandler
.025,.873,.481,1.747,-.140,646.303,713.887,.032,16.296,Chandler
.025,.998,.500,1.845,-.135,595.103,738.150,.100,16.440,Chandler
.025,1.046,.506,1.875,-.134,577.829,743.308,.093,17.217,Chandler
.029,1.058,.508,1.854,-.139,616.960,721.524,.103,17.891,Chandler
.029,.980,.497,1.792,-.142,618.318,703.351,.061,18.771,Chandler
.032,1.147,.519,1.887,-.140,624.233,715.305,.146,20.042,Chandler
.033,1.098,.513,1.851,-.142,580.978,703.527,.081,20.564,Chandler
.024,.883,.483,1.758,-.139,601.037,718.007,.094,16.108,Chandler
.037,1.161,.522,1.860,-.145,631.399,686.797,.139,22.913,Chandler
.035,1.075,.511,1.817,-.146,615.610,684.801,.030,21.673,Chandler
.029,1.111,.514,1.885,-.138,549.671,726.473,.095,19.000,Chandler
.022,.876,.482,1.779,-.135,664.635,737.526,.057,14.598,Chandler
.034,1.135,.518,1.866,-.142,622.856,702.108,.158,21.027,Chandler
.024,.945,.492,1.819,-.135,623.795,738.833,.053,15.511,Chandler
.028,1.094,.512,1.886,-.136,593.247,734.343,.163,17.887,Chandler
.032,1.156,.520,1.895,-.139,645.255,718.463,.143,19.591,Chandler
.025,.982,.497,1.828,-.137,605.306,731.189,.053,17.025,Chandler
.034,1.174,.523,1.894,-.141,587.882,710.579,.073,19.989,Chandler
.035,1.155,.521,1.871,-.143,598.565,698.749,.053,21.181,Chandler
.021,.851,.478,1.772,-.134,635.601,743.308,.114,14.013,Chandler
.032,1.177,.523,1.906,-.139,548.839,719.594,.209,20.303,Chandler
.026,1.039,.505,1.862,-.136,614.063,734.987,.098,17.381,Chandler
.028,1.025,.503,1.833,-.139,600.424,717.319,.108,18.022,Chandler
.036,1.142,.519,1.855,-.145,629.805,690.174,.083,22.132,Chandler
.033,1.091,.513,1.843,-.143,667.889,699.210,.111,20.349,Chandler
.031,.979,.497,1.777,-.145,639.091,690.975,.000,19.443,Chandler
.033,1.100,.514,1.851,-.142,600.120,703.086,.135,20.344,Chandler
.031,1.182,.523,1.918,-.137,540.961,727.932,.044,20.319,Chandler
.025,.960,.494,1.816,-.137,617.057,730.317,.135,16.310,Chandler
.031,.973,.496,1.775,-.144,620.185,692.264,.065,18.985,Chandler
.035,.986,.498,1.753,-.149,672.385,669.332,.000,21.298,Chandler
.030,.998,.500,1.797,-.143,628.394,699.668,.091,19.422,Chandler
.024,.911,.487,1.789,-.137,634.129,729.777,.143,15.508,Chandler
.026,.989,.499,1.824,-.138,641.758,724.351,.108,17.314,Chandler
.034,1.082,.511,1.826,-.145,597.176,689.568,.029,20.874,Chandler
.045,1.306,.540,1.906,-.148,586.643,674.052,.053,26.435,Chandler
.022,.847,.477,1.756,-.136,675.729,732.581,.061,14.851,Chandler
.038,1.151,.521,1.850,-.146,615.819,682.979,.029,22.706,Chandler
.036,1.186,.524,1.885,-.143,590.513,698.564,.077,21.733,Chandler
.023,.877,.482,1.772,-.137,606.808,731.588,.029,15.061,Chandler
.035,.970,.495,1.739,-.150,613.061,665.157,.037,21.986,Chandler
.028,.969,.496,1.797,-.140,660.549,711.558,.059,18.062,Chandler
.027,.981,.497,1.807,-.140,625.510,714.992,.171,17.870,Chandler
.026,.978,.497,1.821,-.138,614.549,726.613,.027,16.966,Chell
.029,.986,.498,1.794,-.142,641.416,702.198,.061,18.662,Chell
.032,1.070,.510,1.837,-.142,606.155,703.086,.111,19.844,Chell
.028,1.037,.505,1.842,-.139,656.186,720.266,.053,18.669,Chell
.040,1.177,.524,1.857,-.147,619.139,678.446,.114,23.899,Chell
.081,1.480,.567,1.873,-.172,531.523,580.814,.074,40.872,Chell
.034,1.134,.518,1.866,-.142,612.900,702.287,.053,20.965,Chell
.028,.981,.497,1.808,-.140,621.125,714.835,.057,17.826,Chell
.027,.959,.494,1.794,-.140,690.934,713.648,.059,17.549,Chell
.026,.977,.497,1.821,-.137,637.408,726.753,.135,16.752,Chell
.028,1.040,.505,1.850,-.138,637.944,724.850,.128,17.864,Chell
.036,1.180,.524,1.883,-.143,623.623,699.668,.128,22.345,Chell
.026,1.024,.503,1.852,-.136,617.447,732.975,.075,17.330,Chell
.038,1.154,.521,1.851,-.146,562.157,682.437,.057,23.335,Chell
.036,1.097,.514,1.823,-.147,624.633,680.793,.121,22.570,Chell
.026,.985,.498,1.823,-.138,649.530,725.134,.027,17.420,Chell
.044,1.290,.538,1.903,-.148,599.755,676.619,.184,25.360,Chell
.057,1.285,.540,1.840,-.160,677.124,623.245,.034,31.511,Chell
.096,1.576,.581,1.890,-.178,551.876,560.580,.000,44.831,Chell
.023,.918,.488,1.798,-.136,607.733,733.759,.139,15.790,Chell
.042,1.323,.540,1.933,-.145,622.648,691.572,.167,24.339,Chell
.035,1.115,.516,1.849,-.144,626.683,694.890,.111,21.530,Chell
.026,.957,.494,1.801,-.139,634.264,719.818,.029,17.294,Chell
.028,.975,.496,1.799,-.141,650.178,710.332,.029,17.937,Chell
.027,1.061,.508,1.867,-.137,599.359,730.921,.146,17.685,Chell
.031,1.042,.506,1.823,-.142,642.385,702.909,.086,19.427,Chell
.034,1.068,.509,1.823,-.144,664.144,692.166,.088,20.396,Chell
.047,1.265,.536,1.871,-.152,619.490,658.203,.088,28.129,Chell
.025,.924,.489,1.785,-.139,646.424,721.156,.088,16.604,Chell
.026,.961,.494,1.802,-.139,593.860,718.992,.057,17.704,Chell
.041,1.085,.512,1.788,-.152,632.461,657.228,.000,24.768,Chell
.028,1.038,.505,1.849,-.138,614.900,725.347,.179,17.777,Chell
.028,.953,.493,1.785,-.141,630.370,708.841,.091,17.965,Chell
.035,1.163,.522,1.879,-.142,630.272,702.465,.128,20.942,Chell
.022,.851,.478,1.757,-.137,647.035,731.655,.091,14.693,Chell
.042,1.270,.535,1.898,-.147,593.652,679.682,.053,25.744,Chell
.057,1.409,.553,1.911,-.156,619.167,642.487,.057,32.314,Chell
.039,1.202,.527,1.876,-.146,601.388,685.435,.189,23.305,Chell
.053,1.387,.550,1.912,-.153,625.985,651.323,.139,30.622,Chell
.028,.952,.493,1.777,-.142,646.668,702.997,.062,17.960,Chell
.029,1.120,.516,1.893,-.137,607.076,729.506,.116,18.611,Chell
.031,1.159,.520,1.902,-.138,603.530,722.766,.163,19.835,Chell
.027,1.063,.508,1.873,-.136,616.687,735.244,.167,17.706,Chell
.029,1.031,.504,1.834,-.140,625.869,716.007,.054,18.640,Chell
.042,1.202,.528,1.856,-.149,622.766,668.461,.088,25.017,Chell
.041,1.191,.526,1.860,-.148,656.002,676.041,.000,23.379,Chell
.037,1.182,.524,1.877,-.144,608.284,694.119,.079,23.027,Chell
.034,1.200,.526,1.911,-.140,598.382,715.696,.093,21.275,Chell
.032,1.046,.506,1.817,-.143,646.526,696.319,.000,19.772,Chell
.032,1.101,.514,1.858,-.141,646.966,708.339,.105,19.076,Chell
.035,1.102,.514,1.838,-.144,590.238,691.672,.086,21.606,Cholette
.038,1.241,.531,1.909,-.143,644.606,699.577,.098,23.087,Cholette
.038,1.225,.529,1.894,-.144,630.318,692.166,.051,22.980,Cholette
.039,1.101,.514,1.809,-.150,617.811,667.582,.032,23.266,Cholette
.025,.957,.494,1.808,-.138,625.459,725.488,.139,16.849,Cholette
.034,1.122,.516,1.857,-.143,586.588,699.210,.135,21.631,Cholette
.025,.978,.497,1.827,-.137,634.040,732.053,.079,16.439,Cholette
.033,1.039,.506,1.808,-.144,630.156,691.672,.061,20.321,Cholette
.031,1.070,.510,1.844,-.141,592.436,708.674,.108,19.572,Cholette
.025,.955,.494,1.808,-.138,610.066,725.912,.167,16.336,Cholette
.030,1.070,.509,1.851,-.140,637.656,713.966,.105,19.321,Cholette
.032,1.097,.513,1.857,-.141,606.587,708.924,.000,19.931,Cholette
.038,1.219,.529,1.892,-.144,615.797,693.147,.103,23.556,Cholette
.037,1.122,.517,1.836,-.146,676.034,682.220,.029,22.893,Cholette
.024,.998,.500,1.857,-.134,600.000,747.986,.071,16.246,Cholette
.022,.940,.492,1.831,-.133,622.676,750.108,.050,15.492,Cholette
.028,1.049,.507,1.852,-.138,594.994,723.056,.026,18.608,Cholette
.034,1.087,.512,1.835,-.144,603.943,694.312,.086,21.615,Cholette
.036,1.123,.517,1.844,-.145,633.065,687.936,.029,22.377,Cholette
.024,.909,.487,1.781,-.138,610.636,724.280,.029,16.403,Cholette
.038,1.286,.536,1.935,-.141,587.723,706.561,.136,23.275,Cholette
.025,.983,.498,1.829,-.137,583.257,730.921,.079,16.663,Cholette
.040,1.259,.533,1.907,-.144,573.522,691.771,.125,24.354,Cholette
.030,1.022,.503,1.818,-.141,619.356,706.732,.086,19.450,Cholette
.027,1.035,.505,1.848,-.138,619.664,725.841,.103,17.684,Cholette
.029,1.029,.504,1.827,-.141,621.576,710.988,.028,19.107,Cholette
.027,1.011,.501,1.836,-.138,648.541,725.418,.053,17.596,Cholette
.025,.993,.499,1.844,-.135,624.673,739.203,.050,16.466,Cholette
.029,1.056,.508,1.847,-.139,622.012,716.627,.105,18.440,Cholette
.029,1.091,.512,1.874,-.138,627.438,725.276,.171,18.913,Cholette
.036,1.144,.520,1.856,-.145,606.438,689.770,.000,22.005,Cholette
.027,1.109,.514,1.901,-.135,608.932,740.610,.067,17.829,Cholette
.032,1.085,.512,1.848,-.142,620.562,705.790,.027,19.957,Cholette
.030,.976,.497,1.784,-.143,652.298,697.915,.000,18.959,Cholette
.025,.933,.490,1.795,-.138,632.804,724.922,.086,16.125,Cholette
.029,1.124,.516,1.894,-.137,617.232,728.893,.070,19.054,Cholette
.030,.970,.496,1.774,-.144,610.960,692.854,.065,19.272,Cholette
.031,1.089,.512,1.855,-.141,626.586,710.414,.105,19.847,Cholette
.023,.929,.490,1.808,-.136,609.965,736.834,.081,16.090,Cholette
.041,1.187,.525,1.852,-.149,604.518,671.052,.029,24.609,Cholette
.025,.983,.498,1.829,-.137,583.257,730.921,.079,16.663,Cholette
.036,1.141,.519,1.855,-.145,624.661,690.274,.111,22.026,Cholette
.020,.880,.483,1.802,-.133,635.781,753.102,.079,13.947,Cholette
.039,1.227,.530,1.894,-.144,604.557,691.870,.128,23.289,Cholette
.032,1.159,.521,1.896,-.139,627.581,718.007,.071,20.567,Cholette
.034,1.137,.518,1.867,-.142,648.743,701.840,.053,20.566,Cholette
.024,.950,.493,1.813,-.136,683.415,732.515,.135,15.821,Cholette
.030,1.008,.501,1.807,-.142,622.269,703.615,.176,18.698,Cholette
.030,1.033,.505,1.828,-.141,609.847,710.168,.056,19.312,Cholette
.028,1.105,.514,1.895,-.136,606.350,736.897,.091,18.088,Cholette
.027,.974,.496,1.806,-.139,605.701,716.317,.114,17.576,Comdet
.036,1.119,.516,1.843,-.145,635.209,688.653,.029,21.228,Comdet
.038,1.143,.520,1.842,-.147,674.889,678.559,.118,23.453,Comdet
.033,1.186,.524,1.908,-.139,585.412,718.083,.093,20.050,Comdet
.028,.994,.499,1.811,-.140,641.246,712.206,.171,18.005,Comdet
.031,1.093,.513,1.856,-.141,611.768,709.755,.026,19.354,Comdet
.045,1.343,.543,1.926,-.147,600.977,678.784,.100,25.940,Comdet
.037,1.109,.515,1.826,-.147,620.218,678.559,.030,22.635,Comdet
.031,1.032,.505,1.814,-.143,653.953,698.934,.118,19.980,Comdet
