@relation amazonReview
@attribute "." numeric
@attribute "," numeric
@attribute "'" numeric
@attribute "\"" numeric
@attribute ":" numeric
@attribute "!" numeric
@attribute ";" numeric
@attribute "?" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
11,16,9,0,0,1,0,0,Chell
8,12,8,10,0,0,0,0,Chell
13,19,13,4,1,0,0,0,Chell
6,10,3,18,1,0,0,1,Chell
7,10,8,10,0,0,0,0,Chell
9,15,9,4,0,3,0,0,Chell
3,10,6,12,0,0,0,1,Chell
10,14,7,2,0,0,0,1,Chell
13,27,10,8,0,0,2,0,Chell
8,19,6,6,0,0,4,0,Chell
10,22,11,3,0,0,0,0,Chell
11,21,7,0,1,1,1,0,Chell
10,11,6,2,0,0,0,0,Chell
8,14,10,0,0,0,0,0,Chell
13,8,14,0,2,1,0,0,Chell
10,15,4,10,0,0,2,0,Chell
14,9,10,0,3,0,0,1,Chell
9,10,11,2,0,0,0,0,Chell
8,16,2,0,0,2,0,0,Cholette
11,15,1,0,0,0,0,0,Cholette
10,13,0,2,0,0,0,0,Cholette
10,13,3,6,0,2,1,1,Cholette
11,20,7,4,0,3,3,0,Cholette
9,13,1,6,0,2,0,0,Cholette
12,18,5,2,1,0,2,0,Cholette
12,12,7,0,0,0,0,0,Cholette
10,22,4,0,0,0,0,1,Cholette
12,22,6,6,0,2,1,0,Cholette
9,17,3,4,0,0,0,0,Cholette
11,16,2,4,1,0,0,0,Cholette
9,21,1,0,0,0,0,0,Cholette
13,20,3,6,0,0,0,0,Cholette
14,31,10,2,0,0,2,0,Cholette
24,24,7,4,1,0,2,0,Cholette
15,19,0,6,1,0,2,0,Cholette
8,16,0,0,0,0,2,0,Cholette
8,18,8,0,1,4,2,0,Cholette
12,21,3,6,0,1,2,0,Cholette
24,12,11,2,1,2,2,0,Cholette
10,21,4,0,0,3,1,0,Cholette
10,16,2,0,1,2,1,0,Cholette
9,18,4,0,1,0,2,1,Cholette
11,24,0,0,0,0,2,0,Cholette
10,18,11,2,1,0,0,0,Cholette
13,20,9,0,0,0,2,0,Cholette
15,22,3,4,1,0,1,0,Cholette
11,25,4,2,0,0,0,1,Cholette
12,25,8,0,1,0,0,0,Cholette
7,11,3,0,0,0,1,0,Cholette
16,27,7,14,0,0,2,0,Cholette
17,23,6,0,1,0,0,0,Cholette
9,17,7,2,0,0,1,0,Cholette
10,26,5,2,0,0,1,0,Cholette
10,25,6,2,0,0,0,0,Cholette
9,21,2,0,0,0,0,0,Cholette
12,20,5,0,0,0,0,0,Cholette
14,25,4,8,0,0,1,0,Cholette
6,5,2,2,0,1,1,0,Cholette
10,21,4,0,0,3,1,0,Cholette
10,13,6,4,0,1,1,0,Cholette
18,27,7,8,0,1,1,0,Cholette
9,24,6,0,1,0,1,0,Cholette
11,19,3,0,5,0,3,0,Cholette
11,17,1,2,0,0,1,0,Cholette
13,28,1,0,0,0,0,0,Cholette
8,22,5,0,0,0,0,0,Cholette
8,24,5,2,0,0,2,0,Cholette
11,25,11,4,1,1,0,2,Cholette
16,20,3,0,0,1,0,0,Comdet
14,24,7,0,0,0,0,0,Comdet
12,10,6,0,0,0,0,0,Comdet
16,19,4,2,2,2,0,1,Comdet
16,16,5,0,0,0,0,0,Comdet
16,14,4,2,0,0,0,0,Comdet
17,7,0,0,0,0,0,0,Comdet
9,11,2,0,0,0,0,0,Comdet
11,12,3,2,0,0,1,0,Comdet
12,5,6,0,0,1,0,0,Comdet
14,16,6,0,0,2,0,0,Comdet
13,4,2,0,0,1,0,0,Comdet
12,14,6,0,0,2,0,0,Comdet
8,12,7,0,0,0,2,0,Comdet
16,13,2,0,0,0,0,0,Comdet
15,12,2,0,0,2,0,0,Comdet
18,16,2,2,0,0,0,0,Comdet
14,14,6,0,0,1,0,0,Comdet
18,10,9,0,1,0,0,0,Comdet
16,20,12,2,0,3,1,0,Comdet
18,18,6,0,0,0,1,0,Comdet
15,8,3,2,0,2,0,0,Comdet
15,13,9,0,0,2,0,0,Comdet
14,17,7,2,0,0,2,0,Comdet
19,9,3,0,0,2,0,1,Comdet
18,14,4,1,1,0,0,1,Comdet
13,12,3,0,0,5,0,0,Comdet
19,13,9,0,0,0,1,0,Comdet
20,20,4,0,0,0,0,0,Comdet
17,12,7,0,0,0,0,0,Comdet
17,16,7,2,0,2,0,0,Comdet
20,17,3,6,0,2,0,0,Comdet
10,9,1,0,0,0,0,0,Comdet
19,18,5,0,0,1,1,0,Comdet
15,19,7,0,0,2,0,0,Comdet
14,18,7,0,0,1,1,0,Comdet
20,16,9,0,0,0,0,0,Comdet
13,14,5,2,0,1,0,0,Comdet
10,16,4,0,0,3,0,0,Comdet
17,12,3,0,0,2,0,0,Comdet
9,13,4,2,0,0,0,0,Comdet
19,17,9,2,0,1,0,0,Comdet
15,13,6,2,0,0,0,0,Comdet
16,19,11,0,1,3,1,0,Comdet
16,22,10,0,0,4,0,0,Comdet
13,11,11,2,0,0,0,0,Comdet
6,14,6,2,0,0,1,0,Comdet
10,19,6,6,0,1,0,0,Comdet
20,17,1,0,0,3,0,0,Comdet
21,21,4,0,0,1,0,0,Comdet
4,3,2,0,0,0,0,0,Corn
9,9,2,2,0,0,0,0,Corn
12,18,9,0,0,0,0,0,Corn
12,7,0,4,2,0,0,0,Corn
13,14,4,2,0,0,0,0,Corn
16,9,8,0,0,0,0,0,Corn
18,3,5,0,0,0,0,0,Corn
15,13,3,2,0,0,0,0,Corn
18,16,9,8,0,0,0,0,Corn
7,10,2,0,0,0,0,1,Corn
9,6,3,2,0,0,0,0,Corn
9,17,3,0,0,0,0,1,Corn
24,11,3,2,0,0,0,1,Corn
10,8,7,3,0,0,0,3,Corn
5,5,1,0,0,1,0,1,Corn
7,11,5,0,0,0,0,0,Corn
10,9,3,0,0,1,0,0,Corn
8,10,3,0,1,0,0,0,Corn
19,16,1,2,0,0,0,1,Corn
18,10,4,0,0,1,0,1,Corn
8,5,1,0,2,0,0,2,Corn
13,12,7,2,1,1,0,2,Corn
6,6,2,2,0,0,0,0,Corn
22,14,7,2,0,0,0,0,Corn
18,9,0,0,1,0,0,2,Corn
19,14,5,0,1,1,0,1,Corn
22,14,9,2,1,0,0,0,Corn
21,13,2,0,1,0,0,3,Corn
19,12,6,2,0,0,0,0,Corn
15,10,7,0,1,1,0,0,Corn
11,15,6,0,0,0,0,1,Corn
9,17,3,4,0,0,0,1,Corn
12,6,4,0,0,0,0,0,Corn
15,6,4,0,0,0,0,3,Corn
14,15,4,4,1,0,0,2,Corn
8,7,2,0,2,1,0,0,Corn
12,18,5,0,1,1,0,0,Corn
12,8,7,2,0,1,0,0,Corn
10,8,1,6,0,0,0,0,Corn
17,20,4,0,0,0,0,2,Corn
12,13,3,0,0,0,0,0,Corn
20,22,5,0,3,1,0,0,Corn
17,13,6,2,0,0,0,0,Corn
8,8,2,0,0,0,0,0,Corn
13,13,8,0,1,1,0,3,Corn
13,7,11,1,0,0,0,0,Corn
32,9,7,6,1,3,0,1,Corn
16,16,4,2,0,2,0,1,Corn
14,10,2,2,0,0,0,1,Corn
24,12,9,0,0,1,0,1,Corn
16,5,6,0,0,1,0,0,Cruiser
14,5,6,0,0,1,0,1,Cruiser
17,16,12,2,0,1,0,0,Cruiser
18,9,10,2,1,1,1,0,Cruiser
16,8,7,2,0,0,0,1,Cruiser
11,12,5,2,0,0,0,0,Cruiser
14,11,6,10,0,1,0,0,Cruiser
10,9,2,6,0,0,0,0,Cruiser
12,10,7,0,0,1,0,0,Cruiser
11,4,8,4,0,0,0,1,Cruiser
8,5,10,0,0,0,0,0,Cruiser
15,3,11,2,0,0,0,0,Cruiser
14,10,6,0,0,1,0,1,Cruiser
10,7,5,0,0,0,0,0,Cruiser
13,9,20,0,0,1,0,0,Cruiser
9,6,7,0,0,0,0,0,Cruiser
14,16,3,0,0,0,0,0,Cruiser
7,11,6,0,0,2,0,0,Cruiser
18,15,6,8,0,1,0,0,Cruiser
17,9,13,0,0,0,0,1,Cruiser
17,18,6,4,0,1,0,0,Cruiser
6,1,2,0,0,0,0,0,Cruiser
12,12,3,0,0,0,0,0,Cruiser
12,5,6,6,0,4,0,0,Cruiser
5,0,8,2,0,0,0,0,Cruiser
13,7,5,0,0,0,0,0,Cruiser
13,5,4,7,0,0,0,0,Cruiser
5,4,5,0,0,0,0,0,Cruiser
13,13,3,2,0,2,0,2,Cruiser
18,16,10,10,0,0,0,2,Cruiser
13,3,6,0,1,0,0,0,Cruiser
5,1,3,0,0,0,0,0,Cruiser
9,7,8,0,1,1,0,0,Cruiser
13,6,8,2,0,0,0,0,Cruiser
9,2,4,0,0,0,0,0,Cruiser
13,11,4,4,0,0,0,1,Cruiser
13,5,8,2,0,0,0,0,Cruiser
7,5,1,0,0,2,0,0,Cruiser
12,4,3,0,0,0,0,0,Cruiser
17,7,7,0,0,0,1,1,Cruiser
9,6,7,0,0,1,0,1,Cruiser
18,8,5,0,0,0,0,0,Cruiser
13,10,6,0,0,0,0,0,Cruiser
14,5,12,0,0,0,0,0,Cruiser
13,5,6,0,0,0,0,0,Cruiser
16,15,11,0,0,0,0,0,Cruiser
6,4,1,0,0,0,0,0,Cruiser
11,2,3,0,0,0,0,0,Cruiser
10,4,6,0,0,0,0,0,Cruiser
12,10,0,0,0,0,0,1,Cruiser
19,6,7,0,0,0,0,0,Cutey
20,12,11,2,0,0,0,1,Cutey
12,16,5,0,0,9,1,0,Cutey
16,12,15,0,0,0,1,0,Cutey
13,12,7,0,0,0,0,0,Cutey
8,2,5,0,0,0,0,0,Cutey
11,5,12,2,0,0,0,0,Cutey
7,5,3,0,0,0,0,0,Cutey
10,14,7,0,0,0,0,1,Cutey
7,8,5,0,0,0,0,0,Cutey
12,3,10,0,0,0,0,0,Cutey
6,3,2,0,0,0,1,0,Cutey
9,7,8,0,0,0,0,0,Cutey
10,6,4,0,0,0,2,0,Cutey
8,2,6,0,0,0,0,0,Cutey
9,7,5,0,0,0,0,0,Cutey
15,3,8,0,0,0,1,0,Cutey
8,7,9,0,0,0,0,0,Cutey
10,6,10,0,0,0,1,0,Cutey
11,5,5,0,0,0,0,0,Cutey
12,3,11,0,0,0,0,0,Cutey
10,11,8,0,0,0,0,0,Cutey
11,11,14,0,0,0,1,0,Cutey
9,7,12,0,0,0,0,0,Cutey
7,6,4,0,0,0,0,0,Cutey
25,13,11,0,0,0,0,1,Cutey
13,7,17,0,0,0,1,0,Cutey
9,11,3,0,0,0,1,0,Cutey
11,9,7,0,0,0,0,0,Cutey
8,5,7,0,0,0,0,1,Cutey
8,6,7,0,0,0,0,0,Cutey
10,10,8,0,0,0,1,0,Cutey
10,4,7,0,0,0,0,0,Cutey
11,5,7,0,0,0,0,0,Cutey
11,3,7,0,0,0,0,0,Cutey
11,4,4,0,0,0,1,0,Cutey
11,5,4,0,0,0,0,0,Cutey
11,7,5,0,0,3,0,0,Cutey
6,6,9,0,0,0,1,0,Cutey
12,5,10,0,0,0,0,0,Cutey
9,5,8,0,0,0,0,0,Cutey
13,17,6,4,0,0,0,0,Cutey
12,2,7,0,0,0,0,0,Cutey
10,4,14,0,0,0,1,0,Cutey
10,10,11,0,0,0,1,0,Cutey
11,7,6,0,0,0,0,0,Cutey
11,5,2,0,0,0,0,0,Cutey
15,6,10,0,0,0,0,0,Cutey
10,5,9,0,0,0,0,0,Cutey
11,6,9,0,0,0,0,0,Cutey
18,12,3,2,0,0,5,0,Daneman
6,10,0,2,0,0,1,0,Daneman
24,15,5,0,1,0,0,0,Daneman
9,18,5,0,0,0,0,0,Daneman
6,9,1,0,0,0,1,2,Daneman
15,10,2,6,0,0,0,0,Daneman
12,21,6,6,1,0,0,2,Daneman
17,16,1,0,0,0,0,0,Daneman
13,7,5,0,0,0,0,1,Daneman
11,16,5,0,0,0,2,0,Daneman
14,10,3,2,1,1,0,1,Daneman
10,12,4,2,0,2,0,0,Daneman
15,16,4,0,0,3,1,1,Daneman
14,9,1,2,0,1,0,1,Daneman
9,33,6,2,0,2,0,0,Daneman
19,22,6,0,0,1,3,0,Daneman
12,24,7,0,0,0,0,4,Daneman
12,32,4,4,0,1,2,0,Daneman
17,18,5,6,0,0,0,0,Daneman
13,18,2,8,1,1,1,0,Daneman
12,8,1,0,1,0,0,0,Daneman
11,14,0,0,0,0,0,0,Daneman
7,7,4,2,0,1,0,0,Daneman
10,25,0,2,3,2,1,0,Daneman
15,11,5,4,0,0,0,0,Daneman
24,23,6,0,0,0,0,0,Daneman
9,18,3,0,1,1,0,0,Daneman
10,15,2,2,0,0,0,0,Daneman
10,17,2,2,1,0,2,0,Daneman
10,20,0,4,0,0,0,0,Daneman
17,20,4,0,0,0,0,0,Daneman
12,16,2,10,0,0,0,0,Daneman
14,6,3,0,0,0,0,0,Daneman
9,10,1,2,0,0,0,0,Daneman
9,10,1,0,0,1,0,3,Daneman
10,12,4,8,0,0,0,0,Daneman
9,25,1,4,0,2,1,1,Daneman
8,11,0,0,0,1,0,0,Daneman
15,12,1,6,0,0,0,0,Daneman
9,8,3,4,0,0,0,1,Daneman
22,22,2,0,0,1,0,2,Daneman
13,18,7,0,0,0,0,0,Daneman
8,12,2,4,1,0,0,0,Daneman
11,22,5,12,0,0,0,1,Daneman
10,9,3,4,0,0,1,0,Daneman
14,14,2,4,0,0,0,0,Daneman
7,10,2,4,0,0,1,0,Daneman
11,17,1,0,0,0,1,0,Daneman
9,13,5,6,1,0,2,0,Daneman
15,9,5,0,1,1,1,0,Daneman
14,12,3,6,0,0,0,0,Davisson
15,16,6,12,0,0,0,0,Davisson
12,11,2,4,0,0,0,0,Davisson
16,10,4,20,0,0,0,0,Davisson
21,16,1,15,0,0,0,0,Davisson
10,12,3,12,0,1,0,1,Davisson
11,6,1,4,0,1,0,0,Davisson
15,14,7,4,0,0,1,0,Davisson
16,21,2,14,0,0,0,0,Davisson
17,14,4,6,0,0,0,0,Davisson
20,13,1,6,0,0,0,0,Davisson
12,12,2,10,0,1,0,0,Davisson
12,7,5,2,0,1,1,0,Davisson
15,15,5,2,0,0,0,0,Davisson
12,24,0,6,0,0,0,0,Davisson
14,13,3,6,0,0,0,0,Davisson
11,15,2,14,1,0,0,0,Davisson
7,15,1,2,0,4,0,0,Davisson
16,29,2,46,0,1,0,0,Davisson
15,14,3,6,0,0,0,1,Davisson
15,14,2,16,1,0,0,0,Davisson
18,12,2,4,0,0,0,0,Davisson
15,21,2,18,0,1,0,0,Davisson
13,9,5,0,0,1,0,0,Davisson
15,14,1,8,0,0,0,0,Davisson
12,13,2,4,0,0,0,0,Davisson
15,12,2,0,0,0,0,0,Davisson
11,10,1,2,0,0,0,0,Davisson
18,12,2,4,0,0,0,0,Davisson
14,21,2,12,0,0,0,0,Davisson
16,18,9,4,0,0,0,0,Davisson
14,16,4,4,1,0,0,0,Davisson
15,16,3,8,1,1,0,0,Davisson
11,9,1,8,0,2,0,0,Davisson
18,18,2,4,0,0,0,0,Davisson
12,22,7,13,0,0,0,0,Davisson
14,17,3,6,0,0,0,0,Davisson
12,10,8,24,0,2,0,0,Davisson
9,11,5,10,0,0,0,0,Davisson
12,12,4,8,0,0,0,0,Davisson
14,14,3,2,0,1,0,0,Davisson
21,24,5,4,1,0,0,0,Davisson
12,12,7,2,0,0,0,0,Davisson
12,15,5,3,0,0,0,0,Davisson
16,21,7,4,0,0,0,1,Davisson
13,11,7,6,0,0,0,0,Davisson
17,18,2,12,0,0,0,0,Davisson
12,13,1,0,0,1,0,0,Davisson
9,16,3,14,0,0,1,0,Davisson
17,9,2,6,0,1,1,0,Davisson
14,6,9,0,1,0,0,0,Dent
15,16,20,0,0,0,0,0,Dent
16,11,15,2,0,0,0,0,Dent
16,11,10,0,1,0,0,0,Dent
11,7,6,0,1,0,0,0,Dent
7,5,3,0,1,0,0,0,Dent
9,8,6,0,1,0,0,0,Dent
16,10,7,0,1,0,0,0,Dent
19,10,13,2,0,0,0,0,Dent
20,8,18,0,0,0,0,0,Dent
20,7,4,1,2,0,0,0,Dent
20,7,7,8,2,0,0,0,Dent
8,14,11,0,4,3,0,0,Dent
14,10,10,0,2,0,0,0,Dent
16,8,16,0,2,0,0,0,Dent
12,8,13,8,0,0,0,0,Dent
13,11,11,4,2,0,0,0,Dent
13,8,6,2,0,1,0,0,Dent
11,9,4,2,2,1,0,0,Dent
15,15,10,0,1,0,0,1,Dent
8,9,7,0,0,0,0,0,Dent
11,13,10,0,1,0,0,1,Dent
17,13,7,0,2,0,0,0,Dent
17,13,7,0,2,0,0,0,Dent
17,21,12,0,0,0,0,0,Dent
13,5,6,0,1,0,0,0,Dent
13,5,6,0,1,0,0,0,Dent
14,9,8,0,1,0,0,0,Dent
14,9,8,0,1,0,0,0,Dent
14,13,10,0,2,0,0,0,Dent
14,9,8,0,1,0,0,0,Dent
10,8,5,0,0,0,0,0,Dent
15,9,9,0,1,0,0,0,Dent
8,5,9,0,0,0,0,1,Dent
18,9,9,2,0,3,0,0,Dent
4,5,4,0,2,0,0,0,Dent
19,17,8,0,1,0,0,0,Dent
11,15,12,0,1,0,0,0,Dent
7,3,9,0,3,0,0,0,Dent
10,3,7,0,1,3,0,0,Dent
14,15,14,0,1,0,0,6,Dent
23,9,7,0,0,0,0,3,Dent
21,11,21,2,2,0,0,2,Dent
15,14,10,0,3,0,0,0,Dent
7,7,6,0,3,0,0,0,Dent
13,6,8,2,1,0,0,0,Dent
10,5,13,2,1,0,0,0,Dent
18,8,12,0,3,0,0,0,Dent
16,24,10,0,1,0,0,0,Dent
20,3,3,0,1,0,0,0,Dent
21,16,6,8,5,0,0,0,Duff
18,10,9,0,4,1,5,2,Duff
27,18,5,0,0,0,0,0,Duff
16,11,11,4,0,0,0,0,Duff
17,17,10,0,0,0,0,0,Duff
22,13,8,0,0,0,0,0,Duff
24,16,7,0,2,2,18,0,Duff
16,10,8,2,0,0,0,0,Duff
17,20,6,0,2,0,0,0,Duff
35,13,11,6,2,0,0,0,Duff
21,13,16,6,1,0,0,0,Duff
13,19,7,4,0,0,0,0,Duff
26,17,10,0,0,0,0,0,Duff
24,20,7,0,0,0,0,1,Duff
16,21,11,2,2,0,0,0,Duff
13,12,8,2,1,0,0,0,Duff
14,20,10,4,0,0,0,2,Duff
12,11,5,0,1,0,0,0,Duff
17,11,13,0,0,0,0,0,Duff
23,16,8,0,0,0,0,0,Duff
20,19,7,0,1,0,0,0,Duff
15,11,7,2,0,0,0,0,Duff
18,15,9,0,0,0,0,0,Duff
18,14,14,0,0,0,0,0,Duff
24,17,10,0,1,0,0,0,Duff
20,15,12,2,0,0,0,2,Duff
28,20,12,10,0,0,0,0,Duff
14,10,10,4,0,0,0,0,Duff
10,7,5,4,2,0,11,1,Duff
15,15,5,18,1,0,0,4,Duff
25,15,6,4,0,0,0,1,Duff
21,7,9,0,0,0,0,0,Duff
22,13,8,8,0,0,0,2,Duff
8,5,7,0,1,0,0,0,Duff
10,10,4,2,1,0,0,0,Duff
22,17,7,2,0,0,0,0,Duff
15,9,9,4,0,0,0,0,Duff
19,18,12,6,0,0,0,0,Duff
26,15,7,0,0,0,0,0,Duff
14,15,9,2,2,0,11,1,Duff
22,18,10,0,1,0,0,0,Duff
15,10,5,0,1,0,0,0,Duff
19,17,6,2,1,0,0,0,Duff
21,20,13,0,0,0,0,0,Duff
13,12,5,0,0,0,0,0,Duff
25,19,17,2,0,0,0,0,Duff
26,14,11,0,3,1,8,0,Duff
24,9,3,0,0,0,0,1,Duff
21,17,7,0,1,1,0,0,Duff
12,11,5,0,0,0,0,0,Duff
24,10,3,0,5,0,0,0,Engineer
14,14,27,0,5,0,0,0,Engineer
12,12,31,0,6,0,0,1,Engineer
12,4,0,4,2,1,0,0,Engineer
9,9,16,2,3,3,0,0,Engineer
9,11,6,0,1,1,0,2,Engineer
11,4,0,2,2,1,0,0,Engineer
19,8,6,0,2,0,0,0,Engineer
14,10,6,0,3,1,0,0,Engineer
14,9,17,0,1,0,0,0,Engineer
14,9,17,0,1,0,0,0,Engineer
16,15,4,7,1,0,0,0,Engineer
16,20,9,0,0,1,0,0,Engineer
14,18,7,0,4,0,0,0,Engineer
14,18,7,0,4,0,0,0,Engineer
14,10,4,0,0,0,0,0,Engineer
13,17,0,8,5,2,0,0,Engineer
13,16,0,8,5,3,0,0,Engineer
24,16,5,2,1,1,0,0,Engineer
12,11,7,2,2,1,0,0,Engineer
14,16,0,0,0,1,0,0,Engineer
10,4,0,4,0,0,0,0,Engineer
10,8,2,0,1,0,0,0,Engineer
12,18,3,0,1,0,0,0,Engineer
10,10,2,0,4,0,0,0,Engineer
16,12,11,0,1,1,0,0,Engineer
10,10,2,0,4,0,0,0,Engineer
15,8,0,0,0,0,0,0,Engineer
16,16,7,4,3,0,0,0,Engineer
15,18,2,4,1,1,0,0,Engineer
17,5,0,2,2,0,0,0,Engineer
13,12,9,2,1,0,0,0,Engineer
14,14,4,2,0,0,0,0,Engineer
8,7,10,0,0,0,0,0,Engineer
14,9,7,2,1,0,0,0,Engineer
12,8,5,0,4,0,0,0,Engineer
15,12,3,0,2,0,0,0,Engineer
8,4,0,6,0,1,0,0,Engineer
16,10,1,4,1,1,0,0,Engineer
16,11,5,2,0,0,0,1,Engineer
16,11,5,2,0,0,0,1,Engineer
18,14,2,0,0,0,0,0,Engineer
18,16,2,0,0,0,0,0,Engineer
14,13,1,2,1,0,0,0,Engineer
17,11,2,2,2,0,0,0,Engineer
13,13,6,0,1,0,0,0,Engineer
11,2,6,2,1,0,0,0,Engineer
17,13,5,2,1,0,0,0,Engineer
18,15,1,6,0,0,0,0,Engineer
14,7,3,4,0,0,0,0,Engineer
13,16,4,4,2,1,0,1,Goonan
42,11,5,0,3,0,0,0,Goonan
23,6,2,2,1,1,0,0,Goonan
17,11,3,0,0,0,0,0,Goonan
16,12,5,0,0,1,0,0,Goonan
12,12,1,0,2,0,0,0,Goonan
15,13,2,0,0,0,0,0,Goonan
20,13,4,0,0,1,0,0,Goonan
17,13,3,0,3,0,0,0,Goonan
14,14,4,0,1,0,0,0,Goonan
9,7,4,2,1,0,0,0,Goonan
10,6,2,0,0,0,0,0,Goonan
13,19,1,2,0,0,0,0,Goonan
12,11,4,0,0,0,0,0,Goonan
11,12,2,0,2,0,0,0,Goonan
13,11,3,0,1,0,0,0,Goonan
17,8,1,0,0,0,0,0,Goonan
16,6,3,0,2,0,1,0,Goonan
20,9,5,0,0,0,0,0,Goonan
12,8,2,0,0,0,0,0,Goonan
19,12,6,0,0,0,0,0,Goonan
10,17,2,2,0,2,0,0,Goonan
11,8,2,0,0,0,0,0,Goonan
12,14,3,0,0,0,0,0,Goonan
9,9,4,0,1,0,0,1,Goonan
18,7,10,0,0,0,0,1,Goonan
21,10,6,0,0,0,0,0,Goonan
17,9,0,2,0,0,0,0,Goonan
12,7,2,0,0,0,0,0,Goonan
19,15,2,0,0,0,0,0,Goonan
16,11,1,0,0,0,0,0,Goonan
14,17,1,4,3,0,2,0,Goonan
16,7,2,2,0,0,0,0,Goonan
12,15,0,2,0,1,0,0,Goonan
17,12,0,0,1,0,0,0,Goonan
11,9,3,2,1,0,0,0,Goonan
13,8,2,2,1,1,0,0,Goonan
16,7,6,0,2,0,0,0,Goonan
11,10,4,0,0,0,0,0,Goonan
14,12,4,2,0,0,0,0,Goonan
9,4,3,2,1,1,0,0,Goonan
16,12,1,0,0,1,0,0,Goonan
11,8,0,0,0,0,0,0,Goonan
16,16,3,0,0,0,0,0,Goonan
18,12,3,2,0,0,0,0,Goonan
12,6,3,0,0,0,0,0,Goonan
11,8,2,2,0,1,0,0,Goonan
13,12,4,0,0,0,0,0,Goonan
12,10,3,0,0,0,0,0,Goonan
15,12,3,2,0,0,0,0,Goonan
4,4,3,0,0,1,1,0,Grove
4,6,1,0,0,0,0,0,Grove
7,7,7,0,0,0,0,0,Grove
12,13,8,0,1,2,0,0,Grove
13,15,7,2,1,2,0,0,Grove
10,10,8,4,0,1,0,0,Grove
6,8,10,0,0,2,1,0,Grove
11,12,9,2,0,3,0,0,Grove
11,26,5,4,0,0,1,1,Grove
5,8,4,2,0,1,0,4,Grove
4,8,9,0,0,1,0,0,Grove
14,15,9,1,1,2,1,0,Grove
10,20,6,2,0,2,0,1,Grove
10,12,8,2,1,2,2,0,Grove
7,9,4,0,0,1,0,0,Grove
18,27,10,2,1,3,2,0,Grove
6,19,10,4,0,3,0,0,Grove
13,24,12,6,0,3,1,0,Grove
18,16,10,16,0,3,3,2,Grove
12,11,11,0,0,1,2,0,Grove
9,6,7,2,0,0,0,0,Grove
4,4,0,0,0,1,0,0,Grove
3,14,1,0,0,1,0,0,Grove
12,20,9,0,2,2,1,0,Grove
13,17,13,2,0,2,0,0,Grove
9,16,13,0,2,2,0,0,Grove
4,7,8,2,0,2,0,0,Grove
10,23,7,2,0,2,0,1,Grove
9,14,10,2,0,3,1,0,Grove
13,15,6,0,0,0,2,0,Grove
12,14,3,0,1,0,1,0,Grove
22,18,10,4,0,1,0,2,Grove
18,24,11,2,0,0,0,0,Grove
13,14,9,0,0,2,1,0,Grove
11,11,9,0,0,1,1,0,Grove
12,19,18,6,1,0,1,0,Grove
13,19,6,6,0,3,0,0,Grove
9,19,13,2,0,2,0,0,Grove
12,10,9,0,0,1,0,0,Grove
17,26,11,0,0,2,1,0,Grove
14,16,4,10,0,1,0,2,Grove
15,17,10,4,1,0,1,0,Grove
8,13,6,0,0,0,0,0,Grove
14,21,11,0,0,0,0,0,Grove
14,14,10,4,0,1,3,0,Grove
12,19,10,10,0,0,0,0,Grove
7,14,3,2,0,0,0,0,Grove
11,20,6,0,0,0,1,0,Grove
11,13,5,0,0,0,0,0,Grove
10,11,6,2,0,1,0,0,Grove
3,1,0,0,0,0,0,0,Harp
8,10,3,0,0,1,0,2,Harp
9,10,8,0,0,1,0,1,Harp
6,14,4,0,0,1,0,0,Harp
10,9,7,0,1,1,0,0,Harp
9,10,8,0,0,1,0,1,Harp
8,7,8,0,1,0,0,0,Harp
14,6,7,2,2,0,0,1,Harp
16,17,11,0,4,0,0,1,Harp
13,10,0,0,1,0,0,0,Harp
7,12,13,0,0,1,0,0,Harp
10,8,6,0,0,1,0,0,Harp
10,8,3,0,1,0,0,1,Harp
5,14,2,0,0,1,0,0,Harp
13,14,2,0,0,0,0,2,Harp
7,4,5,0,0,1,0,0,Harp
11,15,9,0,2,1,0,0,Harp
7,9,1,0,1,0,0,0,Harp
12,11,3,0,1,0,0,2,Harp
13,14,4,0,1,0,0,0,Harp
12,20,6,0,1,0,0,0,Harp
8,10,2,0,0,0,0,0,Harp
12,8,4,0,0,0,0,0,Harp
14,9,8,0,2,1,0,0,Harp
12,5,5,0,0,0,0,0,Harp
6,10,6,0,0,0,0,0,Harp
9,19,1,0,1,0,0,1,Harp
10,7,17,0,1,0,0,0,Harp
7,4,2,0,0,0,0,0,Harp
5,11,4,0,0,2,0,0,Harp
4,18,5,0,0,2,0,0,Harp
10,5,8,0,2,0,0,0,Harp
11,14,4,0,1,0,1,0,Harp
4,14,5,0,0,1,0,2,Harp
7,11,12,0,0,0,0,0,Harp
6,5,3,0,1,1,0,1,Harp
9,27,8,0,0,0,0,0,Harp
13,5,2,0,0,1,0,0,Harp
8,16,4,0,1,1,0,0,Harp
10,8,14,1,1,0,0,0,Harp
10,17,6,0,1,2,0,1,Harp
8,17,5,0,1,2,0,0,Harp
8,18,9,0,0,1,0,0,Harp
6,4,0,0,0,0,0,0,Harp
14,18,20,0,0,0,0,2,Harp
6,12,6,0,1,0,0,7,Harp
