@relation amazonReview
@attribute "e" numeric
@attribute "t" numeric
@attribute "a" numeric
@attribute "o" numeric
@attribute "i" numeric
@attribute "s" numeric
@attribute "n" numeric
@attribute "r" numeric
@attribute "h" numeric
@attribute "l" numeric
@attribute "d" numeric
@attribute "c" numeric
@attribute "u" numeric
@attribute "m" numeric
@attribute "f" numeric
@attribute "y" numeric
@attribute "g" numeric
@attribute "p" numeric
@attribute "w" numeric
@attribute "b" numeric
@attribute "v" numeric
@attribute "k" numeric
@attribute "x" numeric
@attribute "j" numeric
@attribute "z" numeric
@attribute "q" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cutey, Davisson, Dent, Engineer, Goonan}
@data
121,103,91,86,79,66,61,56,56,43,36,28,21,26,24,16,27,27,10,11,11,9,2,0,0,5,Brody
54,51,34,35,42,34,40,28,20,15,13,11,5,8,8,6,9,5,6,5,1,10,2,0,0,1,Brody
47,41,33,26,26,18,32,25,20,15,8,8,7,4,6,8,6,8,8,9,4,7,0,0,0,0,Brody
110,73,74,48,60,56,57,51,45,36,25,20,14,18,8,10,16,9,12,15,11,2,2,5,1,0,Brody
72,62,44,39,44,38,36,34,41,20,18,13,22,12,7,10,12,11,3,10,14,2,1,1,0,0,Brody
142,99,105,83,91,88,74,66,75,48,32,27,25,36,31,24,29,12,27,21,12,6,0,4,0,1,Brody
160,123,100,97,105,89,83,87,59,66,40,44,32,18,28,23,18,23,15,25,16,23,0,4,0,5,Brody
150,110,134,81,77,97,83,63,110,48,44,35,31,29,30,26,30,22,17,20,8,10,0,3,0,1,Brody
96,80,65,83,73,69,69,45,48,26,45,22,27,28,19,24,24,18,16,13,7,9,0,0,0,1,Brody
103,77,59,48,58,52,42,55,53,31,30,22,22,22,20,9,18,21,14,12,6,12,1,0,1,0,Brody
86,100,74,68,93,72,83,56,36,34,36,24,19,20,16,14,22,20,23,10,8,24,0,1,0,2,Brody
163,134,99,113,101,94,85,77,80,65,53,36,32,31,31,33,28,23,33,25,21,7,3,1,2,0,Brody
160,126,102,103,88,87,67,80,80,68,43,22,33,43,23,23,23,12,24,23,24,11,0,1,2,1,Brody
68,56,55,43,47,43,44,35,33,26,20,10,19,22,9,8,8,17,11,3,2,14,1,0,0,0,Brody
85,75,53,57,55,34,45,45,40,29,12,17,20,10,8,13,12,15,11,15,8,17,1,0,0,2,Brody
70,56,42,32,35,31,26,44,31,20,15,19,12,3,15,9,11,11,5,10,7,4,0,1,1,0,Brody
28,31,20,21,36,18,20,20,18,14,11,6,10,11,7,11,5,5,5,6,3,3,0,0,0,0,Brody
45,28,24,26,25,28,21,22,16,12,12,15,7,5,8,9,8,5,7,6,3,6,0,0,0,1,Brody
33,15,28,18,27,18,20,18,16,10,15,12,3,11,5,4,4,5,3,2,7,5,1,1,0,0,Brody
43,33,41,26,45,29,31,25,16,26,20,16,12,13,5,13,8,5,6,3,5,7,1,0,0,0,Brody
70,64,45,51,63,54,38,31,45,43,25,5,14,26,8,29,22,14,12,4,7,5,1,0,2,0,Brown
64,60,43,44,58,51,35,27,44,41,24,5,12,24,4,27,21,13,12,4,6,5,1,0,0,0,Brown
94,79,62,65,60,35,43,45,52,27,28,21,18,26,14,16,19,7,21,11,14,4,0,1,0,0,Brown
84,65,54,46,36,37,30,28,41,32,21,18,24,14,18,22,11,10,16,11,11,3,1,0,0,2,Brown
60,49,41,55,42,38,40,26,28,38,19,11,22,12,15,8,10,11,10,6,7,8,0,0,0,0,Brown
107,99,79,72,61,48,39,52,53,55,28,39,21,31,20,27,15,22,26,18,11,5,4,0,2,0,Brown
78,60,49,35,44,30,25,32,38,35,18,22,17,17,12,20,10,13,13,8,8,6,5,0,1,2,Brown
104,89,77,78,76,43,55,58,38,19,36,20,22,28,20,21,12,17,31,15,18,16,0,0,2,0,Brown
120,94,75,85,72,62,69,56,50,38,31,22,31,27,19,18,18,16,18,13,18,8,1,1,0,0,Brown
138,110,93,105,76,52,68,58,59,54,51,31,44,34,21,20,22,7,25,22,11,15,1,2,0,5,Brown
64,57,50,34,40,32,37,21,30,24,19,7,10,13,20,12,10,6,8,14,3,4,0,2,0,0,Brown
102,110,77,66,82,69,52,65,48,45,19,22,32,31,19,35,19,18,10,14,13,12,2,1,4,1,Brown
102,110,77,66,82,69,52,65,48,45,19,22,32,31,19,35,19,18,10,14,13,12,2,1,4,1,Brown
63,71,55,44,51,48,38,35,36,30,13,19,16,20,12,18,19,14,1,9,7,8,1,2,3,2,Brown
60,56,34,53,61,53,36,45,53,20,15,12,27,17,13,14,13,15,10,18,7,4,1,0,1,0,Brown
151,142,108,140,101,76,75,88,76,54,37,40,36,44,31,16,22,25,22,27,13,29,0,3,1,1,Brown
18,19,11,23,26,14,13,9,15,8,10,6,8,6,4,5,3,5,4,6,3,0,0,0,0,0,Brown
31,29,26,33,36,29,27,25,32,12,14,10,12,6,6,8,10,7,5,7,3,3,2,1,0,0,Brown
139,125,92,101,119,78,85,52,61,51,61,41,36,33,29,25,22,34,31,22,12,19,2,1,5,0,Brown
133,89,98,95,96,68,77,76,59,52,40,18,36,32,28,17,28,13,20,24,10,15,1,0,1,0,Brown
93,81,54,75,48,63,48,40,53,33,25,13,23,11,8,18,15,13,21,14,13,3,2,3,1,0,Brown
108,79,51,43,47,56,34,51,47,30,29,22,12,19,12,23,14,6,12,7,9,3,1,0,0,0,Brown
165,131,128,103,138,108,105,85,73,77,41,25,39,22,32,37,40,17,29,34,13,17,3,3,5,0,Brown
70,76,73,56,67,53,47,49,54,35,27,23,29,16,11,10,13,11,14,11,6,7,1,3,1,1,Brown
94,88,85,77,78,61,42,48,47,50,32,19,19,16,27,24,7,8,21,10,18,4,0,3,0,0,Brown
112,79,60,68,62,56,40,49,46,42,31,20,30,20,22,22,19,10,13,11,12,12,1,0,1,1,Brown
72,54,47,36,31,41,34,31,42,25,26,11,19,12,18,15,13,5,9,11,4,1,1,0,1,0,Brown
113,89,71,77,90,58,66,56,66,44,27,20,25,18,28,19,25,22,27,11,15,1,0,1,0,0,Brown
67,64,40,42,44,29,43,40,27,26,23,14,18,11,13,16,11,8,10,6,10,2,0,1,0,0,Brown
117,94,70,86,90,78,61,53,57,38,40,35,35,23,16,21,20,17,25,25,14,12,4,0,1,2,Brown
118,92,84,117,96,71,74,71,42,36,47,38,37,21,31,19,23,20,23,17,17,10,1,2,0,1,Brown
57,48,37,43,37,27,36,26,22,19,20,16,17,10,3,10,9,9,8,7,6,7,1,2,0,1,Brown
68,56,55,56,57,41,39,34,31,25,24,23,22,13,12,16,17,21,14,13,8,7,1,1,0,0,Brown
84,91,41,87,59,46,48,41,31,31,26,10,34,18,17,25,15,14,27,16,6,17,2,0,1,0,Brown
90,78,74,64,61,57,49,57,37,35,37,28,22,15,18,19,15,9,17,10,12,7,1,2,0,0,Brown
85,76,69,45,56,40,47,36,33,25,32,18,15,14,16,16,15,5,7,3,9,9,3,2,0,1,Brown
85,78,69,48,56,42,47,36,33,27,33,18,15,13,17,15,15,5,7,3,9,9,3,2,0,1,Brown
198,156,125,118,106,94,84,94,58,63,59,35,56,34,28,35,29,27,51,26,31,7,1,4,2,1,Brown
62,52,48,32,37,31,32,20,28,23,18,7,9,12,20,12,9,6,9,14,3,4,0,2,0,0,Brown
91,81,53,70,49,62,48,37,33,29,30,18,35,18,12,13,9,17,23,22,5,9,3,1,0,3,Brown
118,77,70,75,84,77,60,56,48,43,32,25,38,35,23,28,22,16,20,17,10,3,2,0,2,1,Brown
129,122,102,107,105,90,75,46,76,72,48,21,34,19,35,45,25,23,26,16,11,12,0,0,5,1,Brown
121,100,59,86,69,42,65,54,50,38,38,20,41,20,20,17,17,17,26,29,7,10,2,2,2,1,Brown
78,89,60,41,59,53,33,41,42,40,21,18,20,14,10,25,14,13,10,13,7,7,0,0,0,1,Brown
35,55,35,24,39,32,24,22,19,17,15,15,13,10,4,10,5,10,4,7,1,3,0,1,0,1,Brown
93,79,54,58,63,52,49,43,30,40,31,21,35,17,18,11,18,16,19,19,5,13,2,2,0,1,Brown
75,64,58,24,49,39,31,30,24,33,19,10,17,9,10,18,7,10,12,8,8,8,1,3,0,3,Brown
68,78,54,40,55,47,31,37,35,36,18,17,18,14,11,24,13,12,7,12,7,6,0,0,0,1,Brown
96,71,71,82,76,56,75,47,45,39,49,15,33,21,16,15,18,16,15,19,13,7,0,5,0,0,Brown
54,38,34,22,51,28,30,17,23,9,16,17,12,6,5,5,13,10,8,9,9,1,5,2,1,0,Brown
172,135,120,93,122,123,101,75,82,86,65,59,42,28,16,25,19,27,23,13,14,12,1,1,1,0,Bukowsky
150,84,91,76,77,64,48,75,42,72,30,33,29,18,29,25,14,21,13,24,16,8,3,0,2,1,Bukowsky
113,110,84,116,92,68,78,70,47,48,42,44,36,21,40,18,11,24,33,15,16,11,3,1,2,1,Bukowsky
165,135,114,103,108,79,90,94,73,55,58,43,43,34,37,29,27,22,39,25,9,13,5,3,2,3,Bukowsky
149,121,104,116,123,104,98,72,66,70,41,40,41,35,28,19,37,34,36,18,20,16,3,1,1,3,Bukowsky
195,141,113,123,122,142,113,111,90,63,50,47,43,24,31,29,31,37,33,23,22,12,1,2,0,1,Bukowsky
190,111,124,85,103,105,108,103,77,68,56,34,57,35,26,36,35,20,25,18,15,6,3,6,1,2,Bukowsky
191,107,121,106,120,114,126,95,75,74,51,41,37,25,33,24,31,15,27,26,18,9,3,7,1,0,Bukowsky
153,110,105,111,90,104,97,84,77,54,49,45,49,34,23,16,41,30,36,18,14,9,7,2,4,4,Bukowsky
171,131,129,100,123,125,103,91,79,57,62,42,43,33,23,22,18,40,18,26,23,14,2,2,0,1,Bukowsky
158,123,129,100,135,122,123,79,78,59,53,54,45,33,28,23,33,34,24,18,15,18,2,6,1,2,Bukowsky
167,122,124,96,106,97,108,87,75,52,44,46,32,34,32,17,31,33,32,19,8,7,2,4,2,1,Bukowsky
190,135,146,114,103,107,110,103,74,52,54,38,34,39,37,39,29,48,25,24,21,7,2,2,0,1,Bukowsky
162,111,109,132,113,114,127,97,50,49,62,52,57,43,27,22,30,21,29,17,14,7,3,1,0,2,Bukowsky
189,131,112,109,114,88,89,97,98,79,66,41,45,32,34,32,37,32,26,17,15,10,5,5,0,1,Bukowsky
142,91,121,78,106,83,86,86,57,68,49,32,33,25,25,20,30,27,23,14,15,13,3,5,6,1,Bukowsky
194,130,138,98,116,103,99,111,75,94,72,50,45,27,29,35,25,36,32,20,19,7,3,0,0,0,Bukowsky
166,104,98,106,92,90,86,76,60,61,41,39,40,29,29,39,29,30,28,23,16,7,2,2,1,1,Bukowsky
181,158,123,130,112,92,112,83,79,78,60,51,47,44,29,30,34,25,31,24,22,10,1,2,0,0,Bukowsky
129,107,90,71,89,74,84,63,61,55,41,34,28,18,22,25,26,17,19,18,11,15,1,2,0,1,Bukowsky
156,90,109,98,96,88,78,77,60,58,55,34,37,28,22,32,39,24,34,27,17,12,4,2,0,3,Bukowsky
148,130,104,108,68,81,72,88,92,49,35,31,58,29,31,25,29,22,23,29,11,5,6,1,2,0,Bukowsky
110,85,53,82,56,61,64,51,45,37,30,24,34,17,17,16,12,20,17,15,11,5,1,1,2,0,Bukowsky
192,167,123,150,103,126,97,84,79,79,48,54,75,39,37,37,20,22,31,22,14,18,4,1,1,5,Bukowsky
207,144,118,115,109,112,102,101,77,76,72,48,52,29,19,28,35,32,32,22,12,9,5,4,3,3,Bukowsky
187,126,145,122,104,120,123,114,85,64,46,56,42,39,36,24,27,38,29,27,13,28,1,6,3,0,Bukowsky
166,106,119,90,109,85,98,77,79,62,57,48,33,24,29,19,27,24,32,23,13,10,6,1,0,1,Bukowsky
168,120,128,106,130,111,106,94,72,72,56,34,34,37,45,20,41,27,21,17,9,11,0,4,2,2,Bukowsky
163,125,145,127,134,109,102,104,78,65,52,56,35,33,40,31,43,22,27,26,11,8,3,4,2,0,Bukowsky
172,141,144,118,128,85,120,94,61,79,70,51,40,51,42,24,33,33,30,22,15,11,6,4,2,2,Bukowsky
198,144,117,93,135,112,106,98,74,78,61,37,48,26,24,18,39,32,20,19,25,9,8,1,0,0,Bukowsky
122,97,100,91,75,104,77,74,47,62,38,35,36,33,22,35,21,20,16,12,10,9,3,0,1,0,Bukowsky
173,140,108,103,108,102,110,85,51,45,66,45,43,32,28,26,22,30,26,14,18,14,5,1,6,0,Bukowsky
165,119,100,107,99,101,78,71,95,46,51,44,28,42,27,20,21,34,22,23,14,14,0,2,1,0,Bukowsky
173,136,121,115,126,108,98,107,67,76,50,43,42,36,32,22,32,32,38,14,24,8,1,6,0,0,Bukowsky
185,124,111,86,92,97,80,74,83,60,61,37,42,30,27,24,21,27,21,27,17,15,1,8,0,1,Bukowsky
182,132,139,103,142,119,118,101,77,84,52,40,30,36,31,15,33,23,25,31,17,8,3,1,10,3,Bukowsky
214,161,130,111,128,120,99,124,81,90,62,48,34,52,17,28,29,35,27,25,19,7,2,5,0,1,Bukowsky
173,103,98,78,77,87,90,87,62,50,66,30,37,43,23,20,19,28,27,16,18,3,2,3,0,2,Bukowsky
172,121,110,123,106,103,103,90,71,81,67,58,43,40,29,17,33,21,20,16,19,13,2,4,1,0,Bukowsky
210,113,116,81,106,114,105,97,76,65,62,53,47,33,27,23,24,22,27,28,19,14,7,2,2,2,Bukowsky
200,134,148,98,100,114,110,97,96,64,60,38,32,32,29,33,40,34,27,26,16,14,7,0,2,1,Bukowsky
181,113,126,102,97,110,128,94,73,63,43,50,37,30,34,29,30,32,30,17,19,13,0,3,2,0,Bukowsky
149,107,92,49,80,73,74,83,59,69,45,33,26,21,19,25,24,25,21,17,13,7,0,0,2,0,Bukowsky
185,121,135,120,110,93,112,112,80,65,75,54,41,46,21,24,38,40,24,29,20,10,2,6,0,0,Bukowsky
191,148,146,134,120,107,101,103,77,61,58,49,48,36,32,26,25,20,33,39,16,10,4,11,2,2,Bukowsky
186,100,138,84,141,92,132,110,58,68,63,51,31,26,34,30,46,30,20,22,25,13,1,2,1,6,Bukowsky
179,148,126,126,111,116,101,101,98,68,50,53,48,31,41,30,26,40,27,31,17,8,1,2,2,1,Bukowsky
176,128,115,85,115,100,108,96,90,55,48,41,31,30,16,16,45,33,31,18,11,11,5,3,4,1,Bukowsky
184,145,128,105,99,123,102,111,83,48,47,44,49,32,17,21,29,31,38,28,13,10,8,12,0,0,Bukowsky
150,127,120,97,91,88,86,77,73,52,55,46,34,52,25,36,32,19,28,35,13,7,1,4,0,1,Calvinnme
142,117,113,112,90,98,96,59,59,61,39,46,42,33,22,22,38,31,12,19,8,8,12,3,0,5,Calvinnme
151,99,75,75,98,91,82,71,43,42,38,52,35,21,26,14,16,31,15,14,6,9,10,3,0,3,Calvinnme
169,106,111,86,102,116,104,78,54,47,43,43,33,47,26,13,18,24,16,20,12,10,7,1,1,0,Calvinnme
122,90,82,68,69,61,50,62,72,42,40,31,17,33,32,21,13,18,20,14,12,9,2,2,0,0,Calvinnme
77,65,57,69,39,43,42,42,34,23,20,21,14,21,12,11,11,12,15,13,11,11,5,1,0,0,Calvinnme
118,96,94,80,74,100,64,55,64,53,40,37,36,31,17,25,18,17,37,22,6,5,6,3,1,0,Calvinnme
190,131,172,99,103,124,120,85,92,87,69,36,25,27,29,30,46,37,47,16,14,9,1,4,1,0,Calvinnme
96,106,88,72,65,67,54,52,43,27,27,21,29,26,21,14,19,20,12,15,9,13,3,0,0,3,Calvinnme
117,116,86,107,101,108,100,54,44,54,36,34,35,23,26,11,16,21,8,21,15,9,6,4,1,3,Calvinnme
144,109,114,100,83,81,92,92,73,68,49,25,42,35,35,36,31,27,29,24,17,6,1,6,0,0,Calvinnme
155,125,123,103,105,88,93,89,71,70,46,37,40,36,38,37,17,23,28,19,19,7,2,4,2,1,Calvinnme
132,109,94,73,98,86,81,58,60,46,55,36,42,32,30,25,19,13,16,17,18,3,2,2,0,4,Calvinnme
172,106,126,97,97,98,81,73,59,59,68,35,18,27,28,20,24,17,14,24,31,7,0,5,1,0,Calvinnme
93,67,50,65,52,51,61,35,30,24,30,21,30,19,18,9,17,9,8,13,7,8,13,1,0,1,Calvinnme
106,105,85,105,70,76,72,65,67,41,45,30,35,27,20,31,22,15,13,26,13,11,0,3,0,1,Calvinnme
101,78,75,70,74,92,57,50,33,36,34,16,28,8,14,18,22,12,13,13,11,2,4,0,0,0,Calvinnme
107,101,86,73,82,68,59,54,41,63,44,27,41,27,20,27,23,22,19,33,8,8,2,2,1,0,Calvinnme
155,150,123,111,104,97,78,117,76,65,48,45,48,39,32,36,39,35,23,33,12,14,2,4,2,1,Calvinnme
108,89,76,75,78,73,51,66,48,56,35,20,22,22,28,21,21,14,19,15,22,3,2,0,0,0,Calvinnme
38,42,20,38,15,20,23,15,29,12,20,12,11,9,8,10,13,4,3,5,2,3,0,2,0,0,Calvinnme
210,127,116,118,103,125,117,78,80,48,51,40,44,51,44,31,33,27,24,32,15,10,2,6,0,1,Calvinnme
83,54,60,64,61,53,38,43,41,36,35,25,31,15,30,23,15,24,13,12,5,4,1,1,0,1,Calvinnme
118,134,95,150,99,105,94,66,66,48,34,41,45,41,32,38,36,28,14,31,5,17,0,2,0,2,Calvinnme
169,106,111,86,102,116,104,78,54,47,43,43,33,47,26,13,18,24,16,20,12,10,7,1,1,0,Calvinnme
86,69,69,58,52,56,54,55,26,31,37,23,13,22,20,22,18,7,16,7,4,7,1,5,0,0,Calvinnme
165,115,137,103,120,118,109,109,75,82,63,43,30,47,40,41,33,17,28,15,19,9,2,4,2,0,Calvinnme
244,162,137,118,133,120,131,133,95,63,66,55,41,55,40,30,42,31,30,27,15,16,3,2,0,0,Calvinnme
133,129,113,120,117,100,80,74,57,59,68,41,30,29,38,30,26,24,32,22,6,8,5,1,0,1,Calvinnme
92,68,63,56,59,48,41,69,46,30,25,24,39,26,28,27,9,23,12,11,12,4,1,1,2,0,Calvinnme
107,79,78,65,65,55,62,64,47,42,31,27,29,29,23,25,9,20,21,17,12,2,2,3,2,0,Calvinnme
137,134,119,72,101,91,70,83,74,42,50,47,23,26,25,16,14,28,23,13,19,7,2,1,1,0,Calvinnme
86,82,55,95,43,46,56,44,43,17,23,27,27,20,12,25,24,29,10,21,11,11,2,0,0,0,Calvinnme
97,91,50,55,41,53,46,70,57,18,24,17,22,22,18,19,10,7,12,16,10,3,1,1,0,0,Calvinnme
135,113,97,97,86,77,91,80,80,62,61,31,34,30,37,23,27,29,21,17,10,5,2,14,0,1,Calvinnme
163,97,84,89,89,69,72,85,80,50,39,44,31,23,31,31,22,16,23,20,21,13,0,3,1,2,Calvinnme
89,76,60,75,49,47,45,60,42,38,18,30,17,23,13,23,28,25,10,8,9,7,0,0,0,1,Calvinnme
153,92,85,82,87,95,73,77,72,52,42,19,29,37,34,27,15,13,26,21,16,5,0,1,2,1,Calvinnme
160,101,113,108,93,106,105,72,96,51,48,25,35,39,22,28,27,18,35,27,13,10,1,8,0,1,Calvinnme
123,75,63,79,72,56,81,51,55,45,37,32,25,24,18,27,16,16,15,18,15,13,1,0,0,0,Calvinnme
142,109,76,106,68,73,68,52,59,31,49,39,28,26,21,25,15,21,11,22,14,17,6,1,0,1,Calvinnme
121,115,97,82,91,68,69,86,80,51,43,25,23,17,21,20,33,13,26,29,10,12,0,1,0,0,Calvinnme
84,87,58,50,60,55,41,49,41,36,19,18,18,28,20,8,14,15,8,12,9,2,1,1,2,1,Calvinnme
96,95,90,93,83,92,89,47,61,48,25,25,20,27,24,16,23,26,25,16,8,5,0,13,0,0,Calvinnme
148,85,81,86,77,68,63,69,74,62,40,26,39,31,28,13,22,21,18,35,19,7,0,4,2,0,Calvinnme
144,120,106,89,114,119,96,70,83,59,40,28,42,28,27,24,41,18,16,27,10,10,2,9,1,2,Calvinnme
125,81,77,72,79,66,62,55,66,43,42,24,22,30,23,15,20,21,20,15,10,8,2,0,0,0,Calvinnme
92,68,63,56,59,48,41,69,46,30,25,24,39,26,28,27,9,23,12,11,12,4,1,1,2,0,Calvinnme
139,91,89,63,86,71,72,57,79,61,30,31,22,24,27,21,17,20,24,18,13,7,2,3,1,1,Calvinnme
60,41,39,34,34,31,33,32,34,18,19,13,12,10,6,11,10,5,13,7,11,2,1,1,0,0,Calvinnme
144,115,94,111,74,64,75,71,69,55,38,33,27,27,23,20,25,19,18,20,10,11,3,9,1,3,CFH
174,111,103,105,68,76,81,87,64,49,56,49,47,30,26,27,21,23,17,31,22,4,2,0,1,1,CFH
142,93,90,81,68,74,55,63,55,55,41,37,31,31,26,30,27,23,19,18,6,7,3,2,1,1,CFH
142,93,90,81,68,74,55,63,55,55,41,37,31,31,26,30,27,23,19,18,6,7,3,2,1,1,CFH
142,93,90,81,68,74,55,63,55,55,41,37,31,31,26,30,27,23,19,18,6,7,3,2,1,1,CFH
138,101,95,91,89,84,59,78,55,51,37,48,23,34,22,24,20,21,22,15,14,10,7,4,3,1,CFH
140,116,77,106,90,79,90,97,42,69,41,42,34,21,22,19,31,38,34,20,3,17,6,2,0,4,CFH
110,101,81,57,65,63,76,51,45,39,48,29,26,19,18,25,15,28,22,10,5,13,2,2,0,2,CFH
132,77,89,48,48,45,60,66,45,51,30,19,18,29,22,30,23,23,14,8,14,3,1,0,1,0,CFH
147,111,132,100,88,86,88,91,57,75,41,51,32,33,32,28,38,24,20,16,13,8,6,1,2,2,CFH
170,133,111,116,82,84,87,78,79,70,68,34,53,28,23,34,25,21,37,29,16,25,1,4,2,0,CFH
151,117,111,97,88,88,71,59,56,56,51,36,28,43,13,29,35,23,33,29,16,5,14,2,1,0,CFH
106,89,71,85,73,60,67,55,31,43,32,47,36,20,18,21,21,30,15,21,10,7,1,2,0,2,CFH
157,111,89,90,99,76,70,61,51,58,50,35,47,38,30,22,35,21,33,19,15,12,3,3,2,2,CFH
128,110,85,97,77,55,48,73,45,49,44,44,29,23,9,18,29,47,15,27,28,15,4,6,1,1,CFH
100,74,65,79,55,51,63,54,31,31,29,26,17,18,19,21,19,28,17,19,12,8,1,0,0,2,CFH
127,100,98,76,77,82,56,57,62,47,32,28,32,29,21,27,17,24,26,20,19,8,0,3,2,0,CFH
131,109,96,85,81,86,55,70,50,52,43,39,29,26,27,27,29,34,18,17,15,8,3,2,2,5,CFH
134,118,94,125,100,80,87,89,50,61,46,57,50,37,25,25,31,42,31,22,12,19,5,2,1,2,CFH
121,92,74,89,75,84,70,64,52,54,37,25,31,22,31,22,26,21,16,20,15,3,1,4,4,2,CFH
144,124,84,114,93,79,69,67,62,62,48,36,36,30,34,26,28,17,26,18,11,16,2,3,0,0,CFH
172,160,113,125,121,98,92,85,77,64,53,40,51,32,22,21,42,31,31,26,16,19,5,0,2,5,CFH
106,85,81,61,87,80,66,53,41,49,42,29,20,29,17,14,23,18,16,14,7,8,2,2,8,0,CFH
171,134,117,119,126,116,101,91,67,76,65,49,29,39,35,14,33,39,25,23,15,12,3,3,7,0,CFH
168,105,84,91,90,83,82,77,47,54,46,45,37,29,40,22,21,25,24,30,17,18,4,0,3,3,CFH
127,100,98,76,77,82,56,57,62,47,32,28,32,29,21,27,17,24,26,20,19,8,0,3,2,0,CFH
171,134,117,119,126,116,101,91,67,76,65,49,29,39,35,14,33,39,25,23,15,12,3,3,7,0,CFH
126,90,62,67,62,54,54,62,33,37,45,25,29,21,9,22,12,15,15,15,25,5,4,1,1,2,CFH
110,102,67,68,69,52,49,61,37,43,38,34,33,25,16,22,16,28,10,23,6,10,1,3,0,2,CFH
159,109,109,109,93,82,95,96,54,48,69,44,37,38,29,24,33,47,37,13,18,7,4,2,0,1,CFH
104,70,80,91,60,56,65,63,43,40,43,25,17,23,22,22,16,15,20,18,12,11,0,3,0,1,CFH
134,87,91,90,101,77,89,67,44,36,39,29,22,23,21,27,41,22,22,14,17,18,3,5,2,1,CFH
124,102,76,63,72,68,59,67,62,45,32,31,22,17,20,14,18,17,21,10,12,7,2,1,0,0,CFH
151,123,100,89,95,86,65,66,68,55,42,32,23,35,32,23,23,21,19,17,30,4,0,3,0,1,CFH
110,102,67,68,69,52,49,61,37,43,38,34,33,25,16,22,16,28,10,23,6,10,1,3,0,2,CFH
196,165,140,108,96,94,83,96,77,93,55,44,35,38,30,41,33,37,32,11,22,13,4,1,1,2,CFH
133,120,89,95,77,71,77,74,48,41,32,30,26,18,22,9,37,17,12,9,11,3,1,0,0,0,CFH
138,110,90,128,79,72,75,56,63,61,44,30,48,26,28,33,20,24,28,24,16,23,2,0,3,0,CFH
138,82,81,69,78,50,53,72,42,40,59,45,29,25,24,11,18,22,23,19,22,13,4,0,1,0,CFH
101,88,62,74,60,55,68,59,46,29,35,31,33,19,16,18,18,26,8,14,11,9,0,2,2,1,CFH
115,114,76,69,84,75,78,46,44,38,48,19,27,18,12,26,21,20,22,20,10,15,2,2,3,1,CFH
134,99,97,99,86,67,61,82,43,45,56,39,29,44,24,17,27,34,31,16,11,9,4,1,5,1,CFH
113,118,74,98,87,65,61,70,59,41,37,34,25,22,34,23,15,16,18,13,6,8,1,6,2,2,CFH
168,134,109,97,96,81,90,86,75,56,58,47,27,33,41,21,29,28,30,23,13,6,7,3,6,1,CFH
159,133,90,100,93,82,75,67,67,64,39,40,27,36,31,23,23,22,18,19,18,10,2,1,3,3,CFH
161,118,101,102,105,82,87,99,73,58,70,63,45,36,17,29,47,19,20,21,17,11,2,1,2,4,CFH
134,93,102,89,76,75,75,69,61,54,48,29,33,31,23,33,25,22,20,21,8,14,1,3,0,1,CFH
121,94,70,96,60,68,64,62,38,39,35,36,22,27,22,15,12,20,15,16,11,5,5,2,0,0,CFH
186,148,110,116,102,109,93,69,72,66,44,42,46,38,37,44,28,25,21,26,24,2,1,7,1,3,CFH
183,142,124,124,103,100,96,91,74,73,58,33,32,42,32,34,35,23,35,10,31,9,3,3,5,0,CFH
105,83,71,49,55,51,51,36,52,41,43,24,33,15,10,10,21,17,20,18,11,10,4,1,4,4,Chachra
105,79,51,46,47,49,36,43,39,34,25,14,18,16,12,16,16,11,16,10,8,7,3,4,0,0,Chachra
30,32,17,14,23,13,15,11,14,13,6,4,5,4,1,2,10,10,4,4,4,0,1,0,0,2,Chachra
64,59,40,39,53,35,33,30,34,34,19,19,18,8,16,8,15,14,10,9,2,6,3,0,0,1,Chachra
34,29,26,16,28,12,18,15,21,10,8,13,10,4,7,6,8,13,5,7,5,1,1,0,1,3,Chachra
132,107,96,105,82,63,78,85,54,50,45,38,38,22,31,26,22,20,21,19,21,5,0,2,8,0,Chachra
88,78,73,56,70,48,45,43,32,34,37,17,17,10,20,14,18,19,11,18,6,7,5,0,1,1,Chachra
97,90,50,67,54,50,69,45,50,34,32,26,38,20,22,22,16,12,16,10,9,14,2,4,1,1,Chachra
162,127,99,109,80,77,84,65,71,61,56,30,45,29,31,29,27,18,37,27,12,10,2,1,3,0,Chachra
117,92,74,56,62,58,54,50,46,36,39,27,23,28,17,17,22,30,17,18,5,8,1,1,2,4,Chachra
52,39,23,40,39,23,28,24,22,13,23,18,16,10,8,9,10,7,10,12,4,4,0,0,1,0,Chachra
176,114,117,79,112,94,76,72,64,68,52,56,38,34,21,29,23,27,28,32,26,20,2,0,1,3,Chachra
77,67,61,43,41,46,35,32,28,25,17,16,25,27,12,18,9,6,12,9,10,6,2,4,0,1,Chachra
130,89,81,62,78,59,60,51,46,41,43,21,24,29,19,19,14,21,26,13,8,2,6,1,0,1,Chachra
23,17,17,4,11,7,12,9,6,10,8,7,3,3,0,2,2,4,1,2,2,1,2,0,1,1,Chachra
105,100,64,65,77,55,62,52,37,35,34,38,36,11,23,12,11,26,13,9,3,4,0,0,1,1,Chachra
39,35,26,24,27,28,19,22,18,16,12,15,13,3,6,4,9,4,5,8,3,10,0,1,0,0,Chachra
