@relation amazonReview
@attribute "e" numeric
@attribute "t" numeric
@attribute "a" numeric
@attribute "o" numeric
@attribute "i" numeric
@attribute "s" numeric
@attribute "n" numeric
@attribute "r" numeric
@attribute "h" numeric
@attribute "l" numeric
@attribute "d" numeric
@attribute "c" numeric
@attribute "u" numeric
@attribute "m" numeric
@attribute "f" numeric
@attribute "g" numeric
@attribute "y" numeric
@attribute "p" numeric
@attribute "w" numeric
@attribute "b" numeric
@attribute "v" numeric
@attribute "k" numeric
@attribute "x" numeric
@attribute "j" numeric
@attribute "z" numeric
@attribute "q" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
136,133,107,111,100,83,78,79,79,54,33,44,38,27,27,19,26,37,17,29,14,16,1,2,2,1,Blankenship
107,72,69,73,76,56,62,47,48,38,28,22,21,26,35,23,24,12,20,14,8,9,0,4,1,1,Blankenship
153,155,101,111,105,110,79,82,104,63,43,45,44,27,38,27,42,31,32,25,6,15,1,7,2,1,Blankenship
157,99,105,105,90,72,86,89,67,65,40,29,41,18,27,32,19,37,16,23,15,20,2,6,1,4,Blankenship
107,91,76,95,68,74,65,60,41,40,31,21,36,25,27,10,21,11,15,14,14,12,0,0,1,8,Blankenship
206,149,116,143,117,114,93,116,93,60,60,30,38,27,32,23,34,21,35,32,20,19,0,2,2,6,Blankenship
106,97,86,96,84,73,65,62,52,49,41,27,20,32,25,21,24,21,18,21,14,16,0,1,4,2,Blankenship
177,154,117,144,106,99,94,91,88,59,51,23,40,28,33,31,32,29,22,31,17,24,1,2,1,0,Blankenship
123,139,121,112,102,96,86,75,51,57,41,28,29,31,32,17,22,21,36,18,12,18,0,2,3,4,Blankenship
135,117,99,111,114,88,92,83,63,43,44,33,40,34,30,19,24,30,25,24,12,18,2,0,3,2,Blankenship
135,114,80,112,93,73,68,71,76,59,43,20,33,22,28,29,22,20,9,24,17,13,2,2,1,2,Blankenship
160,123,98,117,102,98,101,84,65,55,60,42,49,25,24,19,24,30,26,31,15,14,0,7,2,3,Blankenship
113,110,103,116,95,87,80,65,58,58,41,32,36,30,29,19,24,15,20,25,10,19,1,4,2,0,Blankenship
148,107,110,84,101,90,81,69,66,66,56,32,31,40,21,30,26,33,23,23,10,14,2,1,1,2,Blankenship
145,110,95,117,98,90,92,68,56,70,48,35,35,26,28,26,24,27,21,22,14,19,2,2,2,1,Blankenship
153,122,89,103,124,98,68,85,76,76,39,28,38,26,29,26,24,30,33,20,9,18,1,1,1,1,Blankenship
136,103,106,83,93,91,71,73,67,67,34,25,26,33,22,23,23,17,24,31,9,17,2,2,1,1,Blankenship
164,119,99,95,112,78,74,84,66,61,52,25,45,22,39,26,21,18,27,22,19,19,3,2,1,3,Blankenship
141,117,93,95,84,83,72,79,62,45,49,30,29,27,20,21,26,22,20,20,14,10,2,1,0,3,Blankenship
172,126,129,99,103,85,85,72,81,55,52,33,44,43,38,22,23,30,18,28,19,12,2,5,3,3,Blankenship
123,103,83,74,103,68,73,75,62,41,28,20,33,33,21,24,20,22,22,13,15,8,0,0,0,1,Blankenship
134,126,81,94,99,88,61,68,51,47,36,29,35,21,25,13,28,26,20,24,17,20,4,3,2,2,Blankenship
184,123,118,105,116,120,93,99,88,56,59,50,41,35,30,19,26,27,29,22,18,29,0,2,2,5,Blankenship
168,140,110,107,113,97,73,98,87,79,57,42,29,31,31,26,23,21,36,26,11,23,1,2,1,2,Blankenship
128,143,90,92,109,81,92,80,71,47,30,44,26,15,16,33,10,20,21,32,8,25,4,1,1,2,Brody
108,91,64,70,71,63,57,46,43,28,21,29,14,10,20,9,8,16,12,20,8,29,1,1,1,1,Brody
123,116,88,79,78,67,73,74,46,44,31,27,29,26,18,21,18,25,17,23,10,19,2,0,5,0,Brody
128,69,80,61,77,98,61,54,77,44,32,21,15,22,21,18,16,28,14,8,14,7,3,1,2,0,Brody
44,45,36,45,43,31,28,25,26,27,16,20,17,13,10,6,8,8,7,10,7,2,0,2,0,0,Brody
50,30,33,28,26,21,32,20,23,16,18,12,8,17,3,10,12,7,2,7,10,5,0,1,1,0,Brody
96,79,76,73,72,39,60,49,46,28,32,23,27,29,18,15,24,20,15,15,18,9,0,0,4,0,Brody
132,74,80,83,68,57,74,74,59,42,37,29,23,26,19,12,13,19,32,8,16,5,0,0,0,3,Brody
73,58,57,42,52,42,31,34,34,30,20,11,17,16,14,10,7,9,9,12,10,11,0,0,2,0,Brody
175,150,117,113,149,95,93,89,98,70,49,39,27,37,18,26,24,24,39,31,22,17,5,2,1,0,Brody
70,55,74,52,53,26,37,36,32,24,28,16,11,20,18,11,12,14,10,11,9,6,1,2,4,0,Brody
46,30,30,25,39,23,20,22,15,16,18,15,3,9,11,7,5,2,6,1,5,7,2,0,0,0,Brody
132,109,71,104,91,79,73,77,59,55,28,41,24,14,21,17,20,21,18,16,8,28,1,4,1,2,Brody
162,129,99,104,93,93,107,79,58,52,44,37,30,16,27,26,22,19,21,30,15,27,0,1,0,4,Brody
182,151,127,92,120,102,91,86,77,58,36,38,38,36,33,23,31,34,23,30,11,39,2,3,1,5,Brody
185,175,130,125,161,105,116,97,85,90,49,37,40,32,29,33,27,34,43,29,19,26,3,3,4,1,Brody
111,53,72,59,69,61,57,46,52,42,28,20,19,21,24,16,25,29,16,18,12,12,1,1,4,1,Brody
82,62,57,48,41,52,36,39,28,37,7,11,14,10,15,10,16,15,9,10,7,9,0,2,1,2,Brody
31,35,28,34,34,34,20,18,14,22,14,14,11,9,5,6,11,8,4,6,3,3,0,0,0,0,Brody
33,29,19,16,24,26,15,12,18,13,13,16,7,4,6,3,5,9,4,3,3,1,1,0,0,1,Brody
58,84,50,46,48,43,28,36,51,47,24,9,15,13,10,13,11,10,12,14,2,9,0,0,1,0,Brody
169,144,121,105,133,103,114,104,62,67,44,36,29,30,23,27,24,26,35,22,22,25,2,3,2,0,Brody
110,122,94,107,70,70,76,59,43,38,36,27,29,22,28,18,22,12,11,13,8,14,1,1,0,2,Brody
120,104,81,64,100,86,63,62,60,46,33,28,18,21,20,24,13,14,18,16,5,4,1,1,2,1,Brody
35,21,28,23,30,24,27,14,13,20,16,9,10,10,6,5,5,3,8,11,1,3,0,2,3,0,Brody
62,62,60,41,46,51,39,35,42,28,14,12,15,4,12,18,12,13,11,8,7,17,0,2,1,0,Brody
112,63,73,55,59,69,55,62,37,36,29,36,13,27,27,21,14,29,16,12,12,6,2,2,1,0,Brody
77,66,72,64,51,36,38,45,45,27,27,17,23,12,15,18,12,16,12,18,9,13,1,1,1,1,Brody
47,52,46,40,37,40,37,27,18,22,15,10,7,6,11,13,10,9,10,13,10,11,1,0,0,0,Brody
83,64,51,57,61,41,54,54,42,33,21,14,17,18,17,14,22,14,20,15,19,4,0,2,1,0,Brody
121,103,91,86,79,66,61,56,56,43,36,28,21,26,24,27,16,27,10,11,11,9,2,0,0,5,Brody
54,51,34,35,42,34,40,28,20,15,13,11,5,8,8,9,6,5,6,5,1,10,2,0,0,1,Brody
47,41,33,26,26,18,32,25,20,15,8,8,7,4,6,6,8,8,8,9,4,7,0,0,0,0,Brody
110,73,74,48,60,56,57,51,45,36,25,20,14,18,8,16,10,9,12,15,11,2,2,5,1,0,Brody
72,62,44,39,44,38,36,34,41,20,18,13,22,12,7,12,10,11,3,10,14,2,1,1,0,0,Brody
142,99,105,83,91,88,74,66,75,48,32,27,25,36,31,29,24,12,27,21,12,6,0,4,0,1,Brody
160,123,100,97,105,89,83,87,59,66,40,44,32,18,28,18,23,23,15,25,16,23,0,4,0,5,Brody
150,110,134,81,77,97,83,63,110,48,44,35,31,29,30,30,26,22,17,20,8,10,0,3,0,1,Brody
96,80,65,83,73,69,69,45,48,26,45,22,27,28,19,24,24,18,16,13,7,9,0,0,0,1,Brody
103,77,59,48,58,52,42,55,53,31,30,22,22,22,20,18,9,21,14,12,6,12,1,0,1,0,Brody
86,100,74,68,93,72,83,56,36,34,36,24,19,20,16,22,14,20,23,10,8,24,0,1,0,2,Brody
163,134,99,113,101,94,85,77,80,65,53,36,32,31,31,28,33,23,33,25,21,7,3,1,2,0,Brody
160,126,102,103,88,87,67,80,80,68,43,22,33,43,23,23,23,12,24,23,24,11,0,1,2,1,Brody
68,56,55,43,47,43,44,35,33,26,20,10,19,22,9,8,8,17,11,3,2,14,1,0,0,0,Brody
85,75,53,57,55,34,45,45,40,29,12,17,20,10,8,12,13,15,11,15,8,17,1,0,0,2,Brody
70,56,42,32,35,31,26,44,31,20,15,19,12,3,15,11,9,11,5,10,7,4,0,1,1,0,Brody
28,31,20,21,36,18,20,20,18,14,11,6,10,11,7,5,11,5,5,6,3,3,0,0,0,0,Brody
45,28,24,26,25,28,21,22,16,12,12,15,7,5,8,8,9,5,7,6,3,6,0,0,0,1,Brody
33,15,28,18,27,18,20,18,16,10,15,12,3,11,5,4,4,5,3,2,7,5,1,1,0,0,Brody
43,33,41,26,45,29,31,25,16,26,20,16,12,13,5,8,13,5,6,3,5,7,1,0,0,0,Brody
70,64,45,51,63,54,38,31,45,43,25,5,14,26,8,22,29,14,12,4,7,5,1,0,2,0,Brown
64,60,43,44,58,51,35,27,44,41,24,5,12,24,4,21,27,13,12,4,6,5,1,0,0,0,Brown
94,79,62,65,60,35,43,45,52,27,28,21,18,26,14,19,16,7,21,11,14,4,0,1,0,0,Brown
84,65,54,46,36,37,30,28,41,32,21,18,24,14,18,11,22,10,16,11,11,3,1,0,0,2,Brown
60,49,41,55,42,38,40,26,28,38,19,11,22,12,15,10,8,11,10,6,7,8,0,0,0,0,Brown
107,99,79,72,61,48,39,52,53,55,28,39,21,31,20,15,27,22,26,18,11,5,4,0,2,0,Brown
78,60,49,35,44,30,25,32,38,35,18,22,17,17,12,10,20,13,13,8,8,6,5,0,1,2,Brown
104,89,77,78,76,43,55,58,38,19,36,20,22,28,20,12,21,17,31,15,18,16,0,0,2,0,Brown
120,94,75,85,72,62,69,56,50,38,31,22,31,27,19,18,18,16,18,13,18,8,1,1,0,0,Brown
138,110,93,105,76,52,68,58,59,54,51,31,44,34,21,22,20,7,25,22,11,15,1,2,0,5,Brown
64,57,50,34,40,32,37,21,30,24,19,7,10,13,20,10,12,6,8,14,3,4,0,2,0,0,Brown
102,110,77,66,82,69,52,65,48,45,19,22,32,31,19,19,35,18,10,14,13,12,2,1,4,1,Brown
102,110,77,66,82,69,52,65,48,45,19,22,32,31,19,19,35,18,10,14,13,12,2,1,4,1,Brown
63,71,55,44,51,48,38,35,36,30,13,19,16,20,12,19,18,14,1,9,7,8,1,2,3,2,Brown
60,56,34,53,61,53,36,45,53,20,15,12,27,17,13,13,14,15,10,18,7,4,1,0,1,0,Brown
151,142,108,140,101,76,75,88,76,54,37,40,36,44,31,22,16,25,22,27,13,29,0,3,1,1,Brown
18,19,11,23,26,14,13,9,15,8,10,6,8,6,4,3,5,5,4,6,3,0,0,0,0,0,Brown
31,29,26,33,36,29,27,25,32,12,14,10,12,6,6,10,8,7,5,7,3,3,2,1,0,0,Brown
139,125,92,101,119,78,85,52,61,51,61,41,36,33,29,22,25,34,31,22,12,19,2,1,5,0,Brown
133,89,98,95,96,68,77,76,59,52,40,18,36,32,28,28,17,13,20,24,10,15,1,0,1,0,Brown
93,81,54,75,48,63,48,40,53,33,25,13,23,11,8,15,18,13,21,14,13,3,2,3,1,0,Brown
108,79,51,43,47,56,34,51,47,30,29,22,12,19,12,14,23,6,12,7,9,3,1,0,0,0,Brown
165,131,128,103,138,108,105,85,73,77,41,25,39,22,32,40,37,17,29,34,13,17,3,3,5,0,Brown
70,76,73,56,67,53,47,49,54,35,27,23,29,16,11,13,10,11,14,11,6,7,1,3,1,1,Brown
94,88,85,77,78,61,42,48,47,50,32,19,19,16,27,7,24,8,21,10,18,4,0,3,0,0,Brown
112,79,60,68,62,56,40,49,46,42,31,20,30,20,22,19,22,10,13,11,12,12,1,0,1,1,Brown
72,54,47,36,31,41,34,31,42,25,26,11,19,12,18,13,15,5,9,11,4,1,1,0,1,0,Brown
113,89,71,77,90,58,66,56,66,44,27,20,25,18,28,25,19,22,27,11,15,1,0,1,0,0,Brown
67,64,40,42,44,29,43,40,27,26,23,14,18,11,13,11,16,8,10,6,10,2,0,1,0,0,Brown
117,94,70,86,90,78,61,53,57,38,40,35,35,23,16,20,21,17,25,25,14,12,4,0,1,2,Brown
118,92,84,117,96,71,74,71,42,36,47,38,37,21,31,23,19,20,23,17,17,10,1,2,0,1,Brown
57,48,37,43,37,27,36,26,22,19,20,16,17,10,3,9,10,9,8,7,6,7,1,2,0,1,Brown
68,56,55,56,57,41,39,34,31,25,24,23,22,13,12,17,16,21,14,13,8,7,1,1,0,0,Brown
84,91,41,87,59,46,48,41,31,31,26,10,34,18,17,15,25,14,27,16,6,17,2,0,1,0,Brown
90,78,74,64,61,57,49,57,37,35,37,28,22,15,18,15,19,9,17,10,12,7,1,2,0,0,Brown
85,76,69,45,56,40,47,36,33,25,32,18,15,14,16,15,16,5,7,3,9,9,3,2,0,1,Brown
85,78,69,48,56,42,47,36,33,27,33,18,15,13,17,15,15,5,7,3,9,9,3,2,0,1,Brown
198,156,125,118,106,94,84,94,58,63,59,35,56,34,28,29,35,27,51,26,31,7,1,4,2,1,Brown
62,52,48,32,37,31,32,20,28,23,18,7,9,12,20,9,12,6,9,14,3,4,0,2,0,0,Brown
91,81,53,70,49,62,48,37,33,29,30,18,35,18,12,9,13,17,23,22,5,9,3,1,0,3,Brown
118,77,70,75,84,77,60,56,48,43,32,25,38,35,23,22,28,16,20,17,10,3,2,0,2,1,Brown
129,122,102,107,105,90,75,46,76,72,48,21,34,19,35,25,45,23,26,16,11,12,0,0,5,1,Brown
121,100,59,86,69,42,65,54,50,38,38,20,41,20,20,17,17,17,26,29,7,10,2,2,2,1,Brown
78,89,60,41,59,53,33,41,42,40,21,18,20,14,10,14,25,13,10,13,7,7,0,0,0,1,Brown
35,55,35,24,39,32,24,22,19,17,15,15,13,10,4,5,10,10,4,7,1,3,0,1,0,1,Brown
93,79,54,58,63,52,49,43,30,40,31,21,35,17,18,18,11,16,19,19,5,13,2,2,0,1,Brown
75,64,58,24,49,39,31,30,24,33,19,10,17,9,10,7,18,10,12,8,8,8,1,3,0,3,Brown
68,78,54,40,55,47,31,37,35,36,18,17,18,14,11,13,24,12,7,12,7,6,0,0,0,1,Brown
96,71,71,82,76,56,75,47,45,39,49,15,33,21,16,18,15,16,15,19,13,7,0,5,0,0,Brown
54,38,34,22,51,28,30,17,23,9,16,17,12,6,5,13,5,10,8,9,9,1,5,2,1,0,Brown
172,135,120,93,122,123,101,75,82,86,65,59,42,28,16,19,25,27,23,13,14,12,1,1,1,0,Bukowsky
150,84,91,76,77,64,48,75,42,72,30,33,29,18,29,14,25,21,13,24,16,8,3,0,2,1,Bukowsky
113,110,84,116,92,68,78,70,47,48,42,44,36,21,40,11,18,24,33,15,16,11,3,1,2,1,Bukowsky
165,135,114,103,108,79,90,94,73,55,58,43,43,34,37,27,29,22,39,25,9,13,5,3,2,3,Bukowsky
149,121,104,116,123,104,98,72,66,70,41,40,41,35,28,37,19,34,36,18,20,16,3,1,1,3,Bukowsky
195,141,113,123,122,142,113,111,90,63,50,47,43,24,31,31,29,37,33,23,22,12,1,2,0,1,Bukowsky
190,111,124,85,103,105,108,103,77,68,56,34,57,35,26,35,36,20,25,18,15,6,3,6,1,2,Bukowsky
191,107,121,106,120,114,126,95,75,74,51,41,37,25,33,31,24,15,27,26,18,9,3,7,1,0,Bukowsky
153,110,105,111,90,104,97,84,77,54,49,45,49,34,23,41,16,30,36,18,14,9,7,2,4,4,Bukowsky
171,131,129,100,123,125,103,91,79,57,62,42,43,33,23,18,22,40,18,26,23,14,2,2,0,1,Bukowsky
158,123,129,100,135,122,123,79,78,59,53,54,45,33,28,33,23,34,24,18,15,18,2,6,1,2,Bukowsky
167,122,124,96,106,97,108,87,75,52,44,46,32,34,32,31,17,33,32,19,8,7,2,4,2,1,Bukowsky
190,135,146,114,103,107,110,103,74,52,54,38,34,39,37,29,39,48,25,24,21,7,2,2,0,1,Bukowsky
162,111,109,132,113,114,127,97,50,49,62,52,57,43,27,30,22,21,29,17,14,7,3,1,0,2,Bukowsky
189,131,112,109,114,88,89,97,98,79,66,41,45,32,34,37,32,32,26,17,15,10,5,5,0,1,Bukowsky
142,91,121,78,106,83,86,86,57,68,49,32,33,25,25,30,20,27,23,14,15,13,3,5,6,1,Bukowsky
194,130,138,98,116,103,99,111,75,94,72,50,45,27,29,25,35,36,32,20,19,7,3,0,0,0,Bukowsky
166,104,98,106,92,90,86,76,60,61,41,39,40,29,29,29,39,30,28,23,16,7,2,2,1,1,Bukowsky
181,158,123,130,112,92,112,83,79,78,60,51,47,44,29,34,30,25,31,24,22,10,1,2,0,0,Bukowsky
129,107,90,71,89,74,84,63,61,55,41,34,28,18,22,26,25,17,19,18,11,15,1,2,0,1,Bukowsky
156,90,109,98,96,88,78,77,60,58,55,34,37,28,22,39,32,24,34,27,17,12,4,2,0,3,Bukowsky
148,130,104,108,68,81,72,88,92,49,35,31,58,29,31,29,25,22,23,29,11,5,6,1,2,0,Bukowsky
110,85,53,82,56,61,64,51,45,37,30,24,34,17,17,12,16,20,17,15,11,5,1,1,2,0,Bukowsky
192,167,123,150,103,126,97,84,79,79,48,54,75,39,37,20,37,22,31,22,14,18,4,1,1,5,Bukowsky
207,144,118,115,109,112,102,101,77,76,72,48,52,29,19,35,28,32,32,22,12,9,5,4,3,3,Bukowsky
187,126,145,122,104,120,123,114,85,64,46,56,42,39,36,27,24,38,29,27,13,28,1,6,3,0,Bukowsky
166,106,119,90,109,85,98,77,79,62,57,48,33,24,29,27,19,24,32,23,13,10,6,1,0,1,Bukowsky
168,120,128,106,130,111,106,94,72,72,56,34,34,37,45,41,20,27,21,17,9,11,0,4,2,2,Bukowsky
163,125,145,127,134,109,102,104,78,65,52,56,35,33,40,43,31,22,27,26,11,8,3,4,2,0,Bukowsky
172,141,144,118,128,85,120,94,61,79,70,51,40,51,42,33,24,33,30,22,15,11,6,4,2,2,Bukowsky
198,144,117,93,135,112,106,98,74,78,61,37,48,26,24,39,18,32,20,19,25,9,8,1,0,0,Bukowsky
122,97,100,91,75,104,77,74,47,62,38,35,36,33,22,21,35,20,16,12,10,9,3,0,1,0,Bukowsky
173,140,108,103,108,102,110,85,51,45,66,45,43,32,28,22,26,30,26,14,18,14,5,1,6,0,Bukowsky
165,119,100,107,99,101,78,71,95,46,51,44,28,42,27,21,20,34,22,23,14,14,0,2,1,0,Bukowsky
173,136,121,115,126,108,98,107,67,76,50,43,42,36,32,32,22,32,38,14,24,8,1,6,0,0,Bukowsky
185,124,111,86,92,97,80,74,83,60,61,37,42,30,27,21,24,27,21,27,17,15,1,8,0,1,Bukowsky
182,132,139,103,142,119,118,101,77,84,52,40,30,36,31,33,15,23,25,31,17,8,3,1,10,3,Bukowsky
214,161,130,111,128,120,99,124,81,90,62,48,34,52,17,29,28,35,27,25,19,7,2,5,0,1,Bukowsky
173,103,98,78,77,87,90,87,62,50,66,30,37,43,23,19,20,28,27,16,18,3,2,3,0,2,Bukowsky
172,121,110,123,106,103,103,90,71,81,67,58,43,40,29,33,17,21,20,16,19,13,2,4,1,0,Bukowsky
210,113,116,81,106,114,105,97,76,65,62,53,47,33,27,24,23,22,27,28,19,14,7,2,2,2,Bukowsky
200,134,148,98,100,114,110,97,96,64,60,38,32,32,29,40,33,34,27,26,16,14,7,0,2,1,Bukowsky
181,113,126,102,97,110,128,94,73,63,43,50,37,30,34,30,29,32,30,17,19,13,0,3,2,0,Bukowsky
149,107,92,49,80,73,74,83,59,69,45,33,26,21,19,24,25,25,21,17,13,7,0,0,2,0,Bukowsky
185,121,135,120,110,93,112,112,80,65,75,54,41,46,21,38,24,40,24,29,20,10,2,6,0,0,Bukowsky
191,148,146,134,120,107,101,103,77,61,58,49,48,36,32,25,26,20,33,39,16,10,4,11,2,2,Bukowsky
186,100,138,84,141,92,132,110,58,68,63,51,31,26,34,46,30,30,20,22,25,13,1,2,1,6,Bukowsky
179,148,126,126,111,116,101,101,98,68,50,53,48,31,41,26,30,40,27,31,17,8,1,2,2,1,Bukowsky
176,128,115,85,115,100,108,96,90,55,48,41,31,30,16,45,16,33,31,18,11,11,5,3,4,1,Bukowsky
184,145,128,105,99,123,102,111,83,48,47,44,49,32,17,29,21,31,38,28,13,10,8,12,0,0,Bukowsky
150,127,120,97,91,88,86,77,73,52,55,46,34,52,25,32,36,19,28,35,13,7,1,4,0,1,Calvinnme
142,117,113,112,90,98,96,59,59,61,39,46,42,33,22,38,22,31,12,19,8,8,12,3,0,5,Calvinnme
151,99,75,75,98,91,82,71,43,42,38,52,35,21,26,16,14,31,15,14,6,9,10,3,0,3,Calvinnme
169,106,111,86,102,116,104,78,54,47,43,43,33,47,26,18,13,24,16,20,12,10,7,1,1,0,Calvinnme
122,90,82,68,69,61,50,62,72,42,40,31,17,33,32,13,21,18,20,14,12,9,2,2,0,0,Calvinnme
77,65,57,69,39,43,42,42,34,23,20,21,14,21,12,11,11,12,15,13,11,11,5,1,0,0,Calvinnme
118,96,94,80,74,100,64,55,64,53,40,37,36,31,17,18,25,17,37,22,6,5,6,3,1,0,Calvinnme
190,131,172,99,103,124,120,85,92,87,69,36,25,27,29,46,30,37,47,16,14,9,1,4,1,0,Calvinnme
96,106,88,72,65,67,54,52,43,27,27,21,29,26,21,19,14,20,12,15,9,13,3,0,0,3,Calvinnme
117,116,86,107,101,108,100,54,44,54,36,34,35,23,26,16,11,21,8,21,15,9,6,4,1,3,Calvinnme
144,109,114,100,83,81,92,92,73,68,49,25,42,35,35,31,36,27,29,24,17,6,1,6,0,0,Calvinnme
155,125,123,103,105,88,93,89,71,70,46,37,40,36,38,17,37,23,28,19,19,7,2,4,2,1,Calvinnme
132,109,94,73,98,86,81,58,60,46,55,36,42,32,30,19,25,13,16,17,18,3,2,2,0,4,Calvinnme
172,106,126,97,97,98,81,73,59,59,68,35,18,27,28,24,20,17,14,24,31,7,0,5,1,0,Calvinnme
93,67,50,65,52,51,61,35,30,24,30,21,30,19,18,17,9,9,8,13,7,8,13,1,0,1,Calvinnme
106,105,85,105,70,76,72,65,67,41,45,30,35,27,20,22,31,15,13,26,13,11,0,3,0,1,Calvinnme
101,78,75,70,74,92,57,50,33,36,34,16,28,8,14,22,18,12,13,13,11,2,4,0,0,0,Calvinnme
107,101,86,73,82,68,59,54,41,63,44,27,41,27,20,23,27,22,19,33,8,8,2,2,1,0,Calvinnme
155,150,123,111,104,97,78,117,76,65,48,45,48,39,32,39,36,35,23,33,12,14,2,4,2,1,Calvinnme
108,89,76,75,78,73,51,66,48,56,35,20,22,22,28,21,21,14,19,15,22,3,2,0,0,0,Calvinnme
38,42,20,38,15,20,23,15,29,12,20,12,11,9,8,13,10,4,3,5,2,3,0,2,0,0,Calvinnme
210,127,116,118,103,125,117,78,80,48,51,40,44,51,44,33,31,27,24,32,15,10,2,6,0,1,Calvinnme
83,54,60,64,61,53,38,43,41,36,35,25,31,15,30,15,23,24,13,12,5,4,1,1,0,1,Calvinnme
118,134,95,150,99,105,94,66,66,48,34,41,45,41,32,36,38,28,14,31,5,17,0,2,0,2,Calvinnme
169,106,111,86,102,116,104,78,54,47,43,43,33,47,26,18,13,24,16,20,12,10,7,1,1,0,Calvinnme
86,69,69,58,52,56,54,55,26,31,37,23,13,22,20,18,22,7,16,7,4,7,1,5,0,0,Calvinnme
165,115,137,103,120,118,109,109,75,82,63,43,30,47,40,33,41,17,28,15,19,9,2,4,2,0,Calvinnme
244,162,137,118,133,120,131,133,95,63,66,55,41,55,40,42,30,31,30,27,15,16,3,2,0,0,Calvinnme
133,129,113,120,117,100,80,74,57,59,68,41,30,29,38,26,30,24,32,22,6,8,5,1,0,1,Calvinnme
92,68,63,56,59,48,41,69,46,30,25,24,39,26,28,9,27,23,12,11,12,4,1,1,2,0,Calvinnme
107,79,78,65,65,55,62,64,47,42,31,27,29,29,23,9,25,20,21,17,12,2,2,3,2,0,Calvinnme
137,134,119,72,101,91,70,83,74,42,50,47,23,26,25,14,16,28,23,13,19,7,2,1,1,0,Calvinnme
86,82,55,95,43,46,56,44,43,17,23,27,27,20,12,24,25,29,10,21,11,11,2,0,0,0,Calvinnme
97,91,50,55,41,53,46,70,57,18,24,17,22,22,18,10,19,7,12,16,10,3,1,1,0,0,Calvinnme
135,113,97,97,86,77,91,80,80,62,61,31,34,30,37,27,23,29,21,17,10,5,2,14,0,1,Calvinnme
163,97,84,89,89,69,72,85,80,50,39,44,31,23,31,22,31,16,23,20,21,13,0,3,1,2,Calvinnme
89,76,60,75,49,47,45,60,42,38,18,30,17,23,13,28,23,25,10,8,9,7,0,0,0,1,Calvinnme
153,92,85,82,87,95,73,77,72,52,42,19,29,37,34,15,27,13,26,21,16,5,0,1,2,1,Calvinnme
160,101,113,108,93,106,105,72,96,51,48,25,35,39,22,27,28,18,35,27,13,10,1,8,0,1,Calvinnme
123,75,63,79,72,56,81,51,55,45,37,32,25,24,18,16,27,16,15,18,15,13,1,0,0,0,Calvinnme
142,109,76,106,68,73,68,52,59,31,49,39,28,26,21,15,25,21,11,22,14,17,6,1,0,1,Calvinnme
121,115,97,82,91,68,69,86,80,51,43,25,23,17,21,33,20,13,26,29,10,12,0,1,0,0,Calvinnme
84,87,58,50,60,55,41,49,41,36,19,18,18,28,20,14,8,15,8,12,9,2,1,1,2,1,Calvinnme
96,95,90,93,83,92,89,47,61,48,25,25,20,27,24,23,16,26,25,16,8,5,0,13,0,0,Calvinnme
148,85,81,86,77,68,63,69,74,62,40,26,39,31,28,22,13,21,18,35,19,7,0,4,2,0,Calvinnme
144,120,106,89,114,119,96,70,83,59,40,28,42,28,27,41,24,18,16,27,10,10,2,9,1,2,Calvinnme
125,81,77,72,79,66,62,55,66,43,42,24,22,30,23,20,15,21,20,15,10,8,2,0,0,0,Calvinnme
92,68,63,56,59,48,41,69,46,30,25,24,39,26,28,9,27,23,12,11,12,4,1,1,2,0,Calvinnme
139,91,89,63,86,71,72,57,79,61,30,31,22,24,27,17,21,20,24,18,13,7,2,3,1,1,Calvinnme
60,41,39,34,34,31,33,32,34,18,19,13,12,10,6,10,11,5,13,7,11,2,1,1,0,0,Calvinnme
144,115,94,111,74,64,75,71,69,55,38,33,27,27,23,25,20,19,18,20,10,11,3,9,1,3,CFH
174,111,103,105,68,76,81,87,64,49,56,49,47,30,26,21,27,23,17,31,22,4,2,0,1,1,CFH
142,93,90,81,68,74,55,63,55,55,41,37,31,31,26,27,30,23,19,18,6,7,3,2,1,1,CFH
142,93,90,81,68,74,55,63,55,55,41,37,31,31,26,27,30,23,19,18,6,7,3,2,1,1,CFH
142,93,90,81,68,74,55,63,55,55,41,37,31,31,26,27,30,23,19,18,6,7,3,2,1,1,CFH
138,101,95,91,89,84,59,78,55,51,37,48,23,34,22,20,24,21,22,15,14,10,7,4,3,1,CFH
140,116,77,106,90,79,90,97,42,69,41,42,34,21,22,31,19,38,34,20,3,17,6,2,0,4,CFH
110,101,81,57,65,63,76,51,45,39,48,29,26,19,18,15,25,28,22,10,5,13,2,2,0,2,CFH
132,77,89,48,48,45,60,66,45,51,30,19,18,29,22,23,30,23,14,8,14,3,1,0,1,0,CFH
147,111,132,100,88,86,88,91,57,75,41,51,32,33,32,38,28,24,20,16,13,8,6,1,2,2,CFH
170,133,111,116,82,84,87,78,79,70,68,34,53,28,23,25,34,21,37,29,16,25,1,4,2,0,CFH
